#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4379.351217510467     All      -0.6881329850469854        0.39681661960877523        -0.13944812205635648       0.3471808507928469         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6215.731124647003     All      1.0262499538772987         -0.14158055749160514       0.15191727657225543        -0.37362144771286804       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4715.247111138526     All      -0.8058316008456479        0.6376470266098            -0.0079215767611335        0.4698349744101539         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7542.6433519958055    All      0.3421056672422923         -0.06991246496654835       0.07791547752788122        -0.13073085074512084       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5477.307127856575     All      0.4635668428263926         0.08123106649875478        -0.066114802027515         -0.12748974078352032       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5488.135181926872     All      0.6638365929151699         0.09006197166612218        -0.014484109370236064      -0.1875436300432476        
Check         All|All|All                           All                   All      1.00179447096852           0.9942636619252987         0.0018641438848955947      -0.002369844081755945      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4379.351217510467     All      -0.000249812107509816      0.00011199180556623376     -0.00024221207301924173    0.00010704262510502075     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6215.731124647003     All      -0.00015305535932331243    -9.980397598686392e-07     -0.00021411741133265543    3.997499485696092e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4715.247111138526     All      -0.00012167190205365883    -8.718963907859668e-05     -0.0011718292933483839     -4.1061351861129146e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7542.6433519958055    All      -5.326721994340455e-05     6.598636726163242e-06      -5.348135177940367e-05     1.7113651946511235e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5477.307127856575     All      9.488610926903376e-05      -1.0672077617017274e-06    -0.00024807603420204984    -4.232564616169913e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5488.135181926872     All      5.766633862164017e-05      -2.428611730406401e-05     -0.000616410641571428      -5.4202186912374535e-05    
MWEBV         All|All|All                           All                   All      -0.9103238243716354        -4.108569766668468         0.015339184442674604       -1.0410894052209076        
Redshift      All|All|All                           All                   All      2.492576636170811          1.0447050486735332         0.6921847410625879         -0.44073038370413786       
