#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6497.375378054456     All      1.0250516429766743         -0.46887778053488205       -0.7134608660715497       -0.5184604437014197       
Zeropoint     AB|SDSS|SDSS_r            5357.887764656876     All      1.0186351874863249         1.0589773042415374         1.540307479757884         0.08187760308861323       
Zeropoint     AB|SDSS|SDSS_g            4100.3163940204995    All      -1.1343519116098435        0.4316647448810329         -0.8474647420322057       0.47228468626464637       
Zeropoint     AB|SDSS|SDSS_u            3118.2354660200194    All      0.0012006615854736995      0.01654071457348749        0.046726624777736106      0.007081954587154281      
Zeropoint     AB|SDSS|SDSS_z            7724.837712049467     All      0.09005330272754748        -0.03097005099181871       -0.012166374786912468     -0.039964217285072705     
Check         All|All|All               All                   All      1.0005888831661767         1.007334932169357          0.013942121644952237      0.002819582953921443      
Lambda        AB|SDSS|SDSS_i            6497.375378054456     All      -0.00042286651214472435    -5.6701419490124696e-05    -0.0006511233565389627    9.0215372250411e-05       
Lambda        AB|SDSS|SDSS_r            5357.887764656876     All      5.5777433050222544e-05     0.0007383187636004894      -0.00251077455931845      0.0001102818292910877     
Lambda        AB|SDSS|SDSS_g            4100.3163940204995    All      -0.0012513736916551273     0.0005687144378417145      -0.0009891782562341093    0.0005487201004536707     
Lambda        AB|SDSS|SDSS_u            3118.2354660200194    All      2.0966670747884775e-07     -9.986972917807815e-07     -1.929891168160387e-06    -4.797260877190887e-07    
Lambda        AB|SDSS|SDSS_z            7724.837712049467     All      8.073849353300728e-06      6.300083342690906e-06      2.113716727237513e-05     3.654807510441599e-07     
MWEBV         All|All|All               All                   All      -0.5993176816614194        -3.3982362278067058        0.14187847117609473       -0.905368467620248        
Redshift      All|All|All               All                   All      9.859594792865801          -4.483191224020544         9.721871398112475         -4.238074799786625        
