#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6497.375378054456     All      0.905529943358365          -0.19944867429586566       -0.2260832814876941       -0.37001694697656184       
Zeropoint     AB|SDSS|SDSS_r            5357.887764656876     All      1.2321713262086775         0.8394361512074511         1.6201746182769565        -0.05562581508054831       
Zeropoint     AB|SDSS|SDSS_g            4100.3163940204995    All      -1.2070452420141156        0.39200681279041305        -1.3380340901120613       0.46115354542644177        
Zeropoint     AB|SDSS|SDSS_u            3118.2354660200194    All      -0.0022828245225794894     -0.00941202473256908       -0.03889410765028217      -0.004057880442370765      
Zeropoint     AB|SDSS|SDSS_z            7724.837712049467     All      0.0751699802020572         -0.019388929944241795      0.0077965609944857794     -0.030453023221516107      
Check         All|All|All               All                   All      1.0035431832324047         1.0031933350251876         0.02495970002140474       0.0009998797054447395      
Lambda        AB|SDSS|SDSS_i            6497.375378054456     All      -0.00043112322976818       -8.181846135487911e-05     -0.0006096130074864577    8.657582618490431e-05      
Lambda        AB|SDSS|SDSS_r            5357.887764656876     All      -3.7828218591571416e-05    0.0005442285501220123      -0.0027961977054274524    6.481357754723866e-05      
Lambda        AB|SDSS|SDSS_g            4100.3163940204995    All      -0.0011565067044705317     0.0004191503781095213      -0.001392156846009155     0.00045111778328234487     
Lambda        AB|SDSS|SDSS_u            3118.2354660200194    All      1.064228102904148e-05      -5.0764519789345596e-05    -9.116426810725711e-05    -2.4070457833576973e-05    
Lambda        AB|SDSS|SDSS_z            7724.837712049467     All      7.529734992833729e-06      1.7256203522048625e-06     2.306107070111626e-05     -8.614814184286449e-07     
MWEBV         All|All|All               All                   All      -0.5756062456131348        -3.2932993838254987        0.5605844282086464        -0.8602257562044885        
Redshift      All|All|All               All                   All      9.89144691587897           -2.40758123573368          13.83281802842587         -3.388902958214432         
