#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4672.393034108572    All      -0.5872470106329675       0.5889007614445774         0.005689655909590918       0.38336392668962826        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5414.881058725245    All      1.1545163241387029        0.09420245055640208        0.034965289970204094       -0.34381877161445695       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.260067799878    All      -0.8891082686862739       0.4574523711028178         -0.09916133012591866       0.4341939861764954         
Zeropoint     AB|CNIa02|SDSS_i                      7403.889978022611    All      0.46004743300632395       -0.05360527860887032       0.1627529291623131         -0.16005067111399263       
Zeropoint     AB|CNIa02|SDSS_r                      6105.420914743483    All      0.8627246652810822        -0.08999356010672699       -0.10380693661784512       -0.314964096320669         
Check         All|All|All                           All                  All      1.0009331431068675        0.9969567443881999         0.00043960829834432946     -0.0012756261829949267     
Lambda        AB|CNIa02|SDSS_g                      4672.393034108572    All      -5.300515781930446e-05    -3.104807551513915e-05     -0.0007360130373202509     -2.5692737396973646e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5414.881058725245    All      0.00022094990248613011    -4.605828316003801e-06     -0.000486764233203445      -9.51929741859954e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.260067799878    All      -0.0005470993082588761    0.00010462634297519437     -0.0010606914695298773     0.00016495469703859195     
Lambda        AB|CNIa02|SDSS_i                      7403.889978022611    All      -4.683221177508585e-06    -1.1511866051012162e-05    -0.00012696374861800982    -7.890123268459585e-06     
Lambda        AB|CNIa02|SDSS_r                      6105.420914743483    All      0.00011236843561953367    -2.53811632606519e-05      -0.00011167351234420272    -4.9853052140502065e-05    
MWEBV         All|All|All                           All                  All      -0.8763375634509192       -4.050171203247199         0.026403878136932457       -1.0326437486943063        
Redshift      All|All|All                           All                  All      2.390715902921193         -0.2300599531194436        0.3493596155171086         -0.838082602187229         
