#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4672.393034108572    All      -0.6126603691859254        0.6063616154939666         0.07129433645831278       0.4002571038354009         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5414.881058725245    All      1.1136994518625336         0.10457150850236019        0.07641488372246326       -0.3252961251759596        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.260067799878    All      -0.8566627233591064        0.42024819731310004        -0.21926723819896124      0.406147006201612          
Zeropoint     AB|CNIa02|SDSS_i                      7403.889978022611    All      0.39452865341409477        -0.0461566834514926        0.11794483939599272       -0.1382823758528783        
Zeropoint     AB|CNIa02|SDSS_r                      6105.420914743483    All      0.9612508458270268         -0.08776145105402477       -0.044891586208929635     -0.34370112188653906       
Check         All|All|All                           All                  All      1.0001558585586237         0.9972631868039095         0.0014952351688778814     -0.0008755128783641264     
Lambda        AB|CNIa02|SDSS_g                      4672.393034108572    All      -0.00010703726205424401    -0.00010089357398757832    -0.0008518212463515735    -3.601166862654719e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5414.881058725245    All      0.00016729830101120218     -1.60635783067815e-05      -0.0003971816413825554    -7.745138898612176e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.260067799878    All      -0.00034687311285817846    2.8146147780650904e-05     -0.0009714414065260991    7.880514265301427e-05      
Lambda        AB|CNIa02|SDSS_i                      7403.889978022611    All      -6.072982302723041e-06     -6.735427379941287e-06     -8.005607135355317e-05    -3.788314935718251e-06     
Lambda        AB|CNIa02|SDSS_r                      6105.420914743483    All      1.7078341303186527e-05     -1.0956461024968167e-05    -9.68296127842466e-05     -1.3452918332116118e-05    
MWEBV         All|All|All                           All                  All      -0.8873089708623674        -4.046669964198379         0.024895953115633966      -1.0279968233743226        
Redshift      All|All|All                           All                  All      2.7417028498986724         0.3820910844695824         0.2846510615201732        -0.7559005114009205        
