#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4078.8717736776116    All      -3.032558541666046         0.4851702903566846         -0.8148165513098826       1.1094784900629566        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4884.452981979186     All      4.027553115302993          0.5153223117771333         0.8266344662845482        -1.1071602220341619       
Check         All|All|All                            All                   All      0.994994573636947          1.0004926021338179         0.011817914974665555      0.0023182680287947566     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4078.8717736776116    All      -0.001832231159632252      0.00019249510640274148     -0.0012556873372913159    0.0006034843976632194     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4884.452981979186     All      -4.3126701271831505e-05    -0.00012874649358896024    -0.0015050997234700146    -9.505487115065823e-05    
MWEBV         All|All|All                            All                   All      -0.0419223504557622        -2.0860271320652046        0.022302461427003983      -0.664836919998027        
Redshift      All|All|All                            All                   All      4.980035658066876          0.7325112812495149         9.770342076378101         -0.9475529356200524       
