#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4078.8717736776116    All      -2.9663298494822374       0.5456069046218204         -0.34138432270416763      1.1287189256982368       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4884.452981979186     All      3.9586268198764767        0.4565638160189067         0.34234529826476345       -1.125459836480553       
Check         All|All|All                            All                   All      0.9922969703942395        1.002170720640727          0.0009609755605958226     0.003259089217683808     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4078.8717736776116    All      -0.0014373263352528945    0.000155132302433536       -0.001366138683359681     0.0004577516736371838    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4884.452981979186     All      -0.0005403589813787119    -0.00015460392785685665    -0.0011907750006178326    7.251429265055772e-05    
MWEBV         All|All|All                            All                   All      -0.04814044210395885      -2.086443346991551         0.012516508473777044      -0.6633837600086921      
Redshift      All|All|All                            All                   All      4.111820959879609         0.5594490034248167         6.164676888364298         -0.8820231995924703      
