#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4643.452642674672    All      -0.4747520870328261        0.4342941726667604         -0.01764054112955752       0.2953190571872434        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6121.090249696014    All      0.6677144173305618         -0.047808394065995685      -0.1445366335831961        -0.23951932579721674      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4312.671108182797    All      -0.5014437665729219        0.3092890177019747         -0.08295229979642317       0.2603805600009077        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7427.798878841945    All      0.2666578912623391         -0.0455577908640592        0.09814682101281211        -0.09731907740965572      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5404.572700691592    All      0.3524720702693343         0.14677679984842484        -0.18716916898170724       -0.07535421712423562      
Zeropoint     AB|PS|PS_g                       4817.663394044452    All      -0.18423040318791578       0.2965125447037309         0.1682665664337226         0.1641027581410641        
Zeropoint     AB|PS|PS_z                       8516.301187765635    All      0.1497076248095599         -0.027054702899409477      0.06237872987642928        -0.05479362922341973      
Zeropoint     AB|PS|PS_i                       7410.35074987395     All      0.19077865693332194        -0.03269666230636403       0.09471703328424125        -0.06856647742011236      
Zeropoint     AB|PS|PS_r                       6118.105458940155    All      0.5304893443428872         -0.037249974272057784      0.010300896127154353       -0.1844716924578257       
Check         All|All|All                      All                  All      0.9973937481543406         0.9965050105130047         0.0015114032434755745      -0.0002220441032507181    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4643.452642674672    All      -0.00012090189964625208    -4.0429874458657e-05       -0.0004724896477051177     5.127343143971969e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6121.090249696014    All      -0.00010298566779193093    -4.823657058044782e-06     -0.00024578020919263383    2.1006554421659707e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4312.671108182797    All      -0.00028508778893151626    9.873502825528916e-05      -0.00036278977977902675    0.00010883407731500937    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7427.798878841945    All      -3.1056722828349634e-05    -1.3462307180890512e-05    -0.00028838187375404355    -7.138078520144904e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5404.572700691592    All      4.2355192696383464e-05     1.9958804583852508e-06     -0.0007573675827011614     -4.694419253031184e-05    
Lambda        AB|PS|PS_g                       4817.663394044452    All      -2.4409765740158706e-05    1.034349121933798e-05      -9.02751493054342e-06      1.091742261042744e-05     
Lambda        AB|PS|PS_z                       8516.301187765635    All      0.0001417357455560674      -2.510230896518563e-05     7.58917721440133e-05       -5.095794193404665e-05    
Lambda        AB|PS|PS_i                       7410.35074987395     All      -3.527665309313604e-05     -1.5371868127008225e-06    -0.00013462048579471704    4.982560171517584e-06     
Lambda        AB|PS|PS_r                       6118.105458940155    All      -8.695633254345203e-05     -1.651717753877738e-06     -0.0001945448775655437     1.910487510198528e-05     
MWEBV         All|All|All                      All                  All      -0.8034862423159046        -4.047430638108196         0.04453695827059904        -1.0546719324134266       
Redshift      All|All|All                      All                  All      6.001991647618955          0.3219371901081125         6.123298034923548          -1.576925937044403        
