#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4643.452642674672    All      -0.5088897913076815        0.45943153362184574        -0.09394485563083421       0.3112217849212062         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6121.090249696014    All      0.731622346428627          -0.055454650374642256      -0.05338757209814027       -0.25875931406537933       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4312.671108182797    All      -0.5126945904287039        0.32384568243628564        -0.1520402867587478        0.26570382852737495        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7427.798878841945    All      0.3048940627421224         -0.053294296945338715      0.12962600596178042        -0.11088911950185576       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5404.572700691592    All      0.33935273969672314        0.13749375222857907        -0.2755583678073492        -0.07804901754324134       
Zeropoint     AB|PS|PS_g                       4817.663394044452    All      -0.1604281612309285        0.2767683106116081         0.24846930521558175        0.1534973181293392         
Zeropoint     AB|PS|PS_z                       8516.301187765635    All      0.12808823096033772        -0.024877358416741657      0.03257076614295862        -0.048372441177685355      
Zeropoint     AB|PS|PS_i                       7410.35074987395     All      0.1791530914906122         -0.031296985873918715      0.0864248916433441         -0.06469376782064912       
Zeropoint     AB|PS|PS_r                       6118.105458940155    All      0.4960936989071086         -0.036104083296351064      0.07958571979529427        -0.1698027813001643        
Check         All|All|All                      All                  All      0.9971916272582171         0.9965119039913262         0.0017456064638876612      -0.00014350983105482218    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4643.452642674672    All      -0.00015431889415083903    5.1124422841269686e-06     -0.0004043990037740906     3.388556121104743e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6121.090249696014    All      -1.5833965048402423e-05    -3.6249154513520032e-06    -5.881296109294031e-05     1.3523367841425395e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4312.671108182797    All      -0.00037318041753579904    0.00013683405636882932     -0.0005280685383917872     0.00014256321959119008     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7427.798878841945    All      -9.121973168480048e-06     -1.3922666621164993e-05    -0.0001972741858224438     -1.036718466135497e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5404.572700691592    All      9.280936687268377e-05      -5.903755385023266e-06     -0.0008214980051754092     -6.881379445170622e-05     
Lambda        AB|PS|PS_g                       4817.663394044452    All      -3.02126745101266e-05      4.0890704460910954e-05     3.757251633437653e-05      2.483739860223034e-05      
Lambda        AB|PS|PS_z                       8516.301187765635    All      9.931605128658211e-05      -1.9510293013380962e-05    3.4150936327130294e-05     -3.718165017040594e-05     
Lambda        AB|PS|PS_i                       7410.35074987395     All      -2.6038346027149442e-05    -3.288694652848464e-07     -7.768160382916674e-05     4.907849132660831e-06      
Lambda        AB|PS|PS_r                       6118.105458940155    All      -2.2147936818575253e-05    2.663988492409166e-06      -5.7599949177717587e-05    5.511639177080493e-06      
MWEBV         All|All|All                      All                  All      -0.80807258038518          -4.0480196271747815        0.03732014900075242        -1.0536919173864816        
Redshift      All|All|All                      All                  All      5.602882874651108          -0.23566159863657177       5.284169654295012          -1.66599779499976          
