#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3779.0196469313764    All      -0.564984681227233         0.30209161541936425        -0.045133696628507636      0.2804211661916911        
Zeropoint     AB|MEGACAMPSF|i           5902.155092918242     All      1.2137630373822903         -0.005836088852539945      -0.3633735600374277        -0.41347925210422076      
Zeropoint     AB|MEGACAMPSF|r           4825.74127863305      All      -0.3324488349745198        0.747577666175836          0.1629226801616035         0.359070654179966         
Zeropoint     AB|MEGACAMPSF|z           6804.095734161119     All      0.6730498567755108         -0.04603424517544141       0.23285643221260255        -0.22383803607095298      
Check         All|All|All               All                   All      0.9893793779560481         0.9977989475672189         -0.012728144291729304      0.0021745321964833364     
Lambda        AB|MEGACAMPSF|g           3779.0196469313764    All      -0.00083434887524029       0.00036725418112402487     -0.0004254652169673083     0.00037241508848201747    
Lambda        AB|MEGACAMPSF|i           5902.155092918242     All      -0.00036303009342224306    -3.697555525398447e-05     -0.00018238248338653783    9.806779737599442e-05     
Lambda        AB|MEGACAMPSF|r           4825.74127863305      All      -0.0002327028531790584     -9.038577063524003e-05     -0.0011378554171099565     -4.419905407246156e-06    
Lambda        AB|MEGACAMPSF|z           6804.095734161119     All      -0.0003910889100769611     -1.6708847927687113e-05    -0.00048079878255480394    0.00010049206154373482    
MWEBV         All|All|All               All                   All      -0.4698805167707456        -2.8970709942569783        0.013869476015992976       -0.7899968596977336       
Redshift      All|All|All               All                   All      7.509654354471506          1.7356320915583368         10.565271796951746         -1.4093094549611662       
