#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|MEGACAMPSF|g           3779.0196469313764    All      -0.5990348727320768        0.3201335574003039        -0.08707736381001932       0.29551753462228275      
Zeropoint     AB|MEGACAMPSF|i           5902.155092918242     All      1.2709605709708354         -0.020269057032962223     -0.3933085272008213        -0.4381475232020554      
Zeropoint     AB|MEGACAMPSF|r           4825.74127863305      All      -0.34243883140415277       0.7439743903240981        0.21138524568785422        0.36331368090797617      
Zeropoint     AB|MEGACAMPSF|z           6804.095734161119     All      0.6630270171320924         -0.043605909675648036     0.2696107358686388         -0.21814210292955602     
Check         All|All|All               All                   All      0.9925138839666984         1.0002329810157917        0.0006100905456524197      0.002541589398647487     
Lambda        AB|MEGACAMPSF|g           3779.0196469313764    All      -0.0009934748787062682     0.00048023617745677057    -0.00033550348221861494    0.0004650641951462829    
Lambda        AB|MEGACAMPSF|i           5902.155092918242     All      -0.0002496431466508281     -9.045090384608563e-06    -8.755002876825091e-05     7.446374668565772e-05    
Lambda        AB|MEGACAMPSF|r           4825.74127863305      All      -0.00019412864983804658    4.973359954779316e-05     -0.0007679872192869644     4.516221509561095e-05    
Lambda        AB|MEGACAMPSF|z           6804.095734161119     All      -0.0003720720063294905     -1.187816052900739e-05    -0.0004238398692366212     9.841295886484235e-05    
MWEBV         All|All|All               All                   All      -0.4625567432703619        -2.9007978285081393       0.008224984824785727       -0.7938482939142613      
Redshift      All|All|All               All                   All      7.041196276836105          1.019230693185591         9.49762432946628           -1.5377169545647016      
