#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_z          7058.555385905131     All      0.5357770118048399        0.028732011698728854       0.47631547141799846        -0.14390546596802778       
Zeropoint     AB|DECam|DECam_g          3730.4552231999605    All      -0.8176351475576491       0.5396959145643976         0.6280342244831649         0.47015366478053433        
Zeropoint     AB|DECam|DECam_i          6023.414058030798     All      0.9573120356454294        0.07628986504979451        -0.2834080005807982        -0.29962510315153235       
Zeropoint     AB|DECam|DECam_r          4958.052123979553     All      0.3210965412848913        0.3543260888360322         -0.8158553578394789        -0.02558392067520121       
Check         All|All|All               All                   All      0.9965504411775115        0.9990438801489532         0.005086337480886272       0.0010391749857729948      
Lambda        AB|DECam|DECam_z          7058.555385905131     All      -0.0002757121776437196    -1.6101120293392842e-05    -0.00033949260174335674    6.941386674641267e-05      
Lambda        AB|DECam|DECam_g          3730.4552231999605    All      -0.0015426931872983738    0.0008408216536488253      -0.00018538845536097043    0.0007681161637012202      
Lambda        AB|DECam|DECam_i          6023.414058030798     All      8.793133533649967e-05     8.811822454248973e-06      -1.207264945755787e-05     -2.6310575198024797e-05    
Lambda        AB|DECam|DECam_r          4958.052123979553     All      -2.832039142979518e-05    -5.818623985595783e-05     -0.0018363853388927943     -9.167773285162068e-05     
MWEBV         All|All|All               All                   All      -0.4682787011117284       -2.8777598966096107        0.08256539455528955        -0.7811627806005889        
Redshift      All|All|All               All                   All      5.910375901210821         -0.8638750613972235        5.532535611518319          -1.9597047504332359        
