#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5109.136422413094     All      1.5653675930819295         0.47183272740891624       1.110702267405994         -0.3066347410548509        
Zeropoint     AB|PS|PS_r                4218.185682636847     All      -0.4213726651784497        0.3197377504381649        -1.3634004768439345       0.18056174276514514        
Zeropoint     AB|PS|PS_g                3321.5835995155126    All      -0.6220618783499834        0.13715264831724028       0.05806237964303129       0.24989220608414298        
Zeropoint     AB|PS|PS_z                5871.644413510848     All      0.47076349740339035        0.06967050115846973       0.1940258323006261        -0.12199070267743806       
Check         All|All|All               All                   All      0.9926965469568869         0.9983936273227911        -0.0006099974942830322    0.0018285051169991684      
Lambda        AB|PS|PS_i                5109.136422413094     All      -4.126470429664675e-05     2.006316288313695e-05     -0.0010927448918527545    -2.8787681760274815e-05    
Lambda        AB|PS|PS_r                4218.185682636847     All      -0.0004414879579628829     3.3292538689379717e-06    -0.002057986675684165     5.305310660035515e-05      
Lambda        AB|PS|PS_g                3321.5835995155126    All      -0.0008408001657140955     0.00018377101978100604    0.00014510011727011024    0.0003402116943195787      
Lambda        AB|PS|PS_z                5871.644413510848     All      -0.00029965984903291404    -7.918213930880236e-05    -0.0008803067980246263    3.253279426538694e-05      
MWEBV         All|All|All               All                   All      -0.5193297296103712        -2.3576344864457255       0.13906078692835777       -0.5925906934938663        
Redshift      All|All|All               All                   All      6.087382166888554          1.3104782466438536        8.278638880719003         -1.1865571314613022        
