#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5109.136422413094     All      1.5122839415997436        0.4376257457971988        0.9417677089223839        -0.30802476211080726       
Zeropoint     AB|PS|PS_r                4218.185682636847     All      -0.5536488121551264       0.38837391742205796       -0.6784453708993934       0.27657189373419133        
Zeropoint     AB|PS|PS_g                3321.5835995155126    All      -0.5540883082753945       0.1412558172390277        0.07688514158713473       0.22992748857063836        
Zeropoint     AB|PS|PS_z                5871.644413510848     All      0.5867743338002742        0.03233095572632294       -0.33182932441079427      -0.1954084675955147        
Check         All|All|All               All                   All      0.991321154969497         0.9995864361846074        0.008378155199330994      0.003066152598507732       
Lambda        AB|PS|PS_i                5109.136422413094     All      0.0003360644981068707     0.00010347034438049048    -0.0006309127885054112    -0.00010391830806241744    
Lambda        AB|PS|PS_r                4218.185682636847     All      -0.0006475748652543124    8.6903339597226e-05       -0.002163535555634471     0.00014269505984678042     
Lambda        AB|PS|PS_g                3321.5835995155126    All      -0.000970205961586473     0.0002461689036405073     0.0001584053345917633     0.0004032822137022971      
Lambda        AB|PS|PS_z                5871.644413510848     All      -0.0002638489783397789    -1.398814886163997e-05    0.0001514371906739177     8.81458386320735e-05       
MWEBV         All|All|All               All                   All      -0.4596028763604372       -2.3688601466169246       0.06352071342940642       -0.6190732679207358        
Redshift      All|All|All               All                   All      5.4954285105998135        0.5000877013209504        2.6641077679895986        -1.5082599495323412        
