#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5248.855481808936    All      -1.9891154846801846        1.928148073463376         -0.46080569426747237      1.2554179732993216        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6285.509629292364    All      2.9864471248717503         -0.923931475929507        0.46305958026025995       -1.2530747356044305       
Check         All|All|All                            All                  All      0.9973316401915654         1.004216597533869         0.0022538859927875854     0.002343237694891087      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5248.855481808936    All      -0.00021845273098965992    -7.033419513964773e-05    -0.001620644158486662     -2.407482536243015e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6285.509629292364    All      -0.0006817605276124353     0.0001431958365070247     -0.0006320861606229493    0.00024050832577007038    
MWEBV         All|All|All                            All                  All      -0.5316321690380295        -3.0024287739639277       -0.0073861339880176725    -0.8051493502548068       
Redshift      All|All|All                            All                  All      4.365847087146892          0.6668514427488503        4.467736772864405         -1.0055100021223513       
