#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5248.855481808936    All      -2.0662769760264554       1.9706093240575484        -0.6158186944642985       1.2874655175708127        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6285.509629292364    All      3.062773317233306         -0.9656687007137066       0.6174527673882935        -1.2846420159005916       
Check         All|All|All                            All                  All      0.9964963412068502        1.0049406233438418        0.001634072923994978      0.0028235016702211624     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5248.855481808936    All      -0.0004396782931657169    0.00015661795703277796    -0.0015772897144064146    0.00012384611052925604    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6285.509629292364    All      -0.0009030403375996101    0.00012324200069471297    -0.001401205168562526     0.0002717645700981293     
MWEBV         All|All|All                            All                  All      -0.5333620704044542       -3.001763045898187        -0.010055086064886254     -0.8044881180080204       
Redshift      All|All|All                            All                  All      5.232269713136979         -0.29235594150929245      4.378680773639054         -1.604151918129551        
