#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4731.964930774448    All      -1.0603159237219333       0.9986535751519199        0.07568152703196773        0.6740514228264602         
Zeropoint     AB|PS|PS_z                8364.809922220136    All      0.26694287788951837       -0.06424532094131408      0.058992307797955945       -0.1052463363721539        
Zeropoint     AB|PS|PS_i                7278.532559267074    All      0.8244641621939848        -0.18517125187775818      0.5274142205959453         -0.30533539604237736       
Zeropoint     AB|PS|PS_r                6009.274228305996    All      0.9650640052772838        0.2431428577627237        -0.6694281642764643        -0.26502697264509306       
Check         All|All|All               All                  All      0.9961551216388533        0.9923798600955713        -0.007340108850595328      -0.0015572822331640368     
Lambda        AB|PS|PS_g                4731.964930774448    All      -0.000368706613310927     -6.358488593563443e-05    -0.0009825082549686597     5.5543353890744685e-05     
Lambda        AB|PS|PS_z                8364.809922220136    All      0.0002440402904143344     -7.648813961148091e-05    -2.1783292182750293e-05    -0.0001053787430146098     
Lambda        AB|PS|PS_i                7278.532559267074    All      0.00019036378108833283    -9.460427013039194e-05    -0.00040235313577888877    -0.00011077864196105295    
Lambda        AB|PS|PS_r                6009.274228305996    All      -7.585129332933214e-05    5.2967356824244885e-05    -0.0003817421023992995     2.4925075610707815e-05     
MWEBV         All|All|All               All                  All      -0.6685118081934176       -4.015952974198367        0.08425894856833871        -1.0866116254238067        
Redshift      All|All|All               All                  All      6.484491985050018         0.5674888646949761        9.908680500658784          -1.4851836780992795        
