#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           6652.656798081588    All      0.6604187744764316         0.05761948538740569        1.2273625010143618        -0.1415800086156542        
Zeropoint     AB|MEGACAMPSF|g           3697.419991773755    All      -0.45153201252456376       0.3249053647532918         0.9692185065952263        0.29616296830013084        
Zeropoint     AB|MEGACAMPSF|i           5768.906839677105    All      1.484728502830385          -0.012439274606457218      -0.44361720119698855      -0.5074733986973387        
Zeropoint     AB|MEGACAMPSF|r           4719.459461243129    All      -0.7017186088459588        0.6323882439428274         -1.7329090264801783       0.3572307218765478         
Check         All|All|All               All                  All      0.991896655936294          1.0024738194770677         0.02005477993242133       0.004340282863685818       
Lambda        AB|MEGACAMPSF|z           6652.656798081588    All      -0.00027638137210495267    -2.4505694121561478e-05    -0.0005151862259736591    5.905379968241039e-05      
Lambda        AB|MEGACAMPSF|g           3697.419991773755    All      -0.0004954896896209261     0.0003618232747911296      0.0011205544030127633     0.00032926023375400796     
Lambda        AB|MEGACAMPSF|i           5768.906839677105    All      -0.0003934362885192234     1.7480499304834941e-06     9.515776144779888e-05     0.00013297099406125583     
Lambda        AB|MEGACAMPSF|r           4719.459461243129    All      -0.00012375112249885832    -9.458611307880177e-05     -0.001284780901982694     -4.7833867801815156e-05    
MWEBV         All|All|All               All                  All      -0.45652108129450397       -2.7940642553435424        0.10008033813292405       -0.7569485888354488        
Redshift      All|All|All               All                  All      3.379370033409446          0.5158527604130825         -2.9355002553026366       -1.0637396768641123        
