#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           6652.656798081588    All      0.6765346568647206         0.04098572630830688        1.1065400851307197        -0.15763939377638603       
Zeropoint     AB|MEGACAMPSF|g           3697.419991773755    All      -0.43744197600062457       0.29053619705603495        0.7456898995464855        0.2704031561219961         
Zeropoint     AB|MEGACAMPSF|i           5768.906839677105    All      1.4232054421575757         -0.008583337595879925      -0.4427148977221131       -0.48613704258677043       
Zeropoint     AB|MEGACAMPSF|r           4719.459461243129    All      -0.6715764362684103        0.6794946254537138         -1.3928922238855608       0.3779299110911408         
Check         All|All|All               All                  All      0.9907216867532614         1.0024332112221757         0.01662286306953109       0.004556630849980481       
Lambda        AB|MEGACAMPSF|z           6652.656798081588    All      -0.0002619399053009765     -1.543280636795605e-05     -0.0004263604862474851    6.12689616668127e-05       
Lambda        AB|MEGACAMPSF|g           3697.419991773755    All      -0.0005118474231650469     0.00034655397007055246     0.0009088104188266581     0.0003201656093207986      
Lambda        AB|MEGACAMPSF|i           5768.906839677105    All      -0.0003416112671610358     -2.0496319744404197e-05    2.5060330669597156e-05    0.0001057160302014223      
Lambda        AB|MEGACAMPSF|r           4719.459461243129    All      -0.00018458840698139294    -7.067987191052385e-05     -0.0013978515508622532    -2.5275937262951022e-05    
MWEBV         All|All|All               All                  All      -0.4612231192008309        -2.7944106399168334        0.083338064607862         -0.7562769400210831        
Redshift      All|All|All               All                  All      2.307697431597277          0.4339455617861532         -3.7044917007090374       -0.7756570790906392        
