#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7410.963568074567    All      0.35863347584663663        -0.05933096453993869       0.4985822715367849         -0.11389533198242208       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6104.166796170116    All      0.3884692028730039         -0.008650464890180842      -0.3502242365982067        -0.1449838397971137        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4283.444826159821    All      -0.11455306434935114       0.09257056268667796        -0.025682654427194862      0.0663208805796428         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6061.378679461854    All      0.8002766072710248         -0.07394026745268789       0.11960371017645244        -0.2794238327132048        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5236.28103543238     All      0.273781035271218          0.19806451817885318        -0.22257123335456264       -0.03459569252831918       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4682.578565329145    All      -0.34060235191012345       0.4069770401843087         0.2926500292274703         0.25657082934807673        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5297.310815008291    All      0.05646210334007815        0.08581031139929252        -0.4224410394154887        -0.009291926495344494      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7436.8458768312      All      0.2318374948788314         -0.042509085262043556      0.16279650612265328        -0.08209884651533272       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3503.015443361696    All      -0.1956266202061168        0.08856698152994724        -0.006520939255194591      0.09228020620785093        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4286.480654472286    All      -0.4647264357198825        0.31212704877763287        -0.041858142128203824      0.25117880098565193        
Check         All|All|All                                All                  All      0.993951447295319          0.9996856806118615         0.004334271884509633       0.0020612470894854074      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7410.963568074567    All      -7.68696592399613e-05      5.8739842621700485e-06     -0.00042095988307565583    8.166820690803418e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6104.166796170116    All      -4.438217360067378e-06     -5.303421900575576e-06     -0.00011198659047187663    -5.279272780180878e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4283.444826159821    All      -8.189481802052928e-05     5.2288145759528435e-05     -7.430610626585454e-05     4.039186554450673e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6061.378679461854    All      2.801560096019179e-05      -1.7713205003351664e-05    -0.0006337554410345242     -4.317697113526817e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5236.28103543238     All      8.322121462279055e-05      9.531036497604631e-05      -0.0012779012383928824     -5.308902909008767e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4682.578565329145    All      -0.00023738802092654798    0.0001313218623762909      -0.0006576556062210255     9.075278998389525e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5297.310815008291    All      2.1131320833634723e-05     3.691725968793274e-05      -0.00043494935887392527    -1.4267792609586238e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7436.8458768312      All      -4.00017563808657e-05      4.861493456710773e-07      -0.0001518375688725064     6.4124295736167436e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3503.015443361696    All      -0.0004098096614410427     0.0001735028175079173      9.546013755774911e-05      0.00019426401231087024     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4286.480654472286    All      -0.00038365340628145826    0.0001886191832885814      -0.00031167389830444016    0.00017249943501704607     
MWEBV         All|All|All                                All                  All      -0.9002255116417           -3.9504228788764806        0.060548534185489444       -0.9908476280297618        
Redshift      All|All|All                                All                  All      7.415413246915826          -1.0571050674743177        14.66691070349848          -2.105261090557281         
