#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7410.963568074567    All      0.2910590569389937         -0.04583127153772182      0.31958871972987535        -0.09547448660381844       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6104.166796170116    All      0.4188603102162675         0.0023932356483236106     -0.2537739485163564        -0.1469817933272589        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4283.444826159821    All      -0.16474571100737406       0.12007656831700686       -0.10003424542238544       0.08831191781808279        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6061.378679461854    All      0.7398616657094458         -0.045675804530809216     0.2269744662760048         -0.24574656949851542       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5236.28103543238     All      0.26402376473265315        0.1889373575517439        -0.19559341130699556       -0.03318654870682985       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4682.578565329145    All      -0.27259144209254          0.3657858560329963        0.36227589756977313        0.22410719742429813        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5297.310815008291    All      0.09070099816581453        0.10928511373187177       -0.45015445176719787       -0.014034867858647845      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7436.8458768312      All      0.2047991600599642         -0.0328768840152982       0.10940569813197365        -0.07253663303947297       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3503.015443361696    All      -0.17934017516346898       0.07840998561192691       -0.0017531868116629856     0.08387947041765409        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4286.480654472286    All      -0.39805132247681657       0.2565621963014131        -0.016602809516286794      0.21248825207638386        
Check         All|All|All                                All                  All      0.9945763050829393         0.9970663531114532        0.0003327283667419016      0.0008259387018754449      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7410.963568074567    All      -4.712113045502579e-05     3.221183009731713e-06     -0.0003044148909588931     2.8135092519182867e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6104.166796170116    All      -3.492359863386844e-05     -2.953531446770155e-06    -0.00010874736194433471    5.560807361799488e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4283.444826159821    All      -8.837489346744458e-05     4.942180274850032e-05     -0.00011292970603199921    3.984538322135538e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6061.378679461854    All      -2.5416997184894813e-05    -5.631856074629678e-06    -0.00047731541665584906    -1.485572344351342e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5236.28103543238     All      5.8507030251572285e-05     5.898601802886051e-05     -0.0011917752569087126     -5.30274340127705e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4682.578565329145    All      -0.00018285176552165544    4.052380253851718e-05     -0.0007197183896765093     4.064304517084393e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5297.310815008291    All      2.3320906227099778e-05     3.2017699893265524e-05    -0.00040155743791993483    -1.5086832354679262e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7436.8458768312      All      -3.775722255328251e-05     2.3983019397524203e-07    -0.00012794427727942127    6.66732467751695e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3503.015443361696    All      -0.0004126670046420812     0.00015892173473619036    -5.274230285056879e-05     0.00018383161038688716     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4286.480654472286    All      -0.00032000057168796484    0.00012346098569711688    -0.0005511261012711176     0.00011985579202310705     
MWEBV         All|All|All                                All                  All      -0.9452404275188893        -3.929666933865139        0.0546622207967113         -0.9696865739729968        
Redshift      All|All|All                                All                  All      7.56753056460048           -0.07246589084335398      14.720803643150198         -1.8316763375675105        
