#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          4191.243595629171    All      -0.35446055982391167       0.49441847278473006        -0.14661306445700353      0.26996516051401703        
Zeropoint     AB|DECam|DECam_z          5966.884638522746    All      1.0763869641364296         0.1381954733865598         0.5455946553861578        -0.28125245047621056       
Zeropoint     AB|DECam|DECam_g          3153.505887402547    All      -0.412117362595824         0.10696920662613962        0.10489356567285327       0.17376449111372788        
Zeropoint     AB|DECam|DECam_i          5091.837472309803    All      0.6778683513813308         0.25962776707757484        -0.5014207099808278       -0.15861082135867408       
Check         All|All|All               All                  All      0.9876773930980249         0.9992109198750043         0.0024544466211797733     0.0038663797928602806      
Lambda        AB|DECam|DECam_r          4191.243595629171    All      -0.00033137954505936735    0.00021795589454041834     -0.0013791658696847193    0.00011739078679250136     
Lambda        AB|DECam|DECam_z          5966.884638522746    All      -0.00021952613558385518    -3.0928764508192923e-05    -0.00026404630419069      4.9649194593334764e-05     
Lambda        AB|DECam|DECam_g          3153.505887402547    All      -0.0010757330606608602     0.00028122704157334145     0.0002725846767771373     0.00045417075014744936     
Lambda        AB|DECam|DECam_i          5091.837472309803    All      -4.550408189993336e-05     -1.1509039088958137e-05    -0.0007569956510412138    -2.2707935303475915e-05    
MWEBV         All|All|All               All                  All      -0.4506751169284242        -2.228698356877601         0.04377389361347518       -0.5772072366528113        
Redshift      All|All|All               All                  All      4.0455270262556375         -0.3115872743807202        -0.23348169004480906      -1.4296746880040705        
