#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3635.570263904263    All      -2.3793861317048397       0.08059172876482279        -0.3861256953646613       0.7840647036497407        
Zeropoint     AB|MEGACAMPSF|z           5120.356353610845    All      0.3222981695333875        0.05359420463566522        -0.03979864507024635      -0.08930175220597592      
Zeropoint     AB|MEGACAMPSF|i           4445.535428133293    All      3.058531111179432         0.8662461483169182         0.4264878464446297        -0.695067142638306        
Check         All|All|All               All                  All      1.0014431490079798        1.0004320817174062         0.0005635060097221034     -0.0003041911945412812    
Lambda        AB|MEGACAMPSF|r           3635.570263904263    All      -0.003591381015665044     -4.7939011338467e-05       -0.0028456453659467017    0.0010272275534826969     
Lambda        AB|MEGACAMPSF|z           5120.356353610845    All      0.00015528706495741558    2.500669967162373e-05      -3.277944568899133e-05    -4.389939718084158e-05    
Lambda        AB|MEGACAMPSF|i           4445.535428133293    All      -0.0008911460872441554    -0.00026845777989843446    -0.0027186523170951403    8.150910094582628e-05     
MWEBV         All|All|All               All                  All      -0.28705460116603465      -1.9141214135014906        0.010153968872729497      -0.5295360646905186       
Redshift      All|All|All               All                  All      11.022568777588722        1.5494552867945544         4.869022840473006         -2.868422593371129        
