#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3635.570263904263    All      -2.2226375951249313       0.10903551733747463        0.0036737051922752784     0.7596665830859113         
Zeropoint     AB|MEGACAMPSF|z           5120.356353610845    All      0.3266390736202412        0.05548885998383213        -0.014159292203508311     -0.08895440933820511       
Zeropoint     AB|MEGACAMPSF|i           4445.535428133293    All      2.8977534751687433        0.8360456957364093         0.01336382051591034       -0.6709696860005387        
Check         All|All|All               All                  All      1.0017549536640529        1.000570073057716          0.0028782335046773078     -0.00025751225283254797    
Lambda        AB|MEGACAMPSF|r           3635.570263904263    All      -0.0032682466638132915    -8.902038135695202e-05     -0.0032260443986079526    0.000891615048810114       
Lambda        AB|MEGACAMPSF|z           5120.356353610845    All      0.00021256280045650757    3.389610623173228e-05      4.79653216951809e-06      -5.7983573067606285e-05    
Lambda        AB|MEGACAMPSF|i           4445.535428133293    All      -0.0010919603361488226    -0.00034366861621145615    -0.0035503429805697232    8.530773016264313e-05      
MWEBV         All|All|All               All                  All      -0.2892338508989054       -1.9122535629350068        0.018812542918233977      -0.5278313985851151        
Redshift      All|All|All               All                  All      10.180225881040702        1.622947619977566          6.1907038849050355        -2.5111243742120997        
