#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          7261.310606901774    All      0.9353554891788585         0.18232546141732087       0.477285210473124          -0.22398760714225396      
Zeropoint     AB|DECam|DECam_g          3837.611607452232    All      -0.6848900961791641        0.6938432504020042        0.17502280359582562        0.4569092738351129        
Zeropoint     AB|DECam|DECam_r          5100.470919207501    All      0.27202068331907225        0.05702541014400708       -0.764770726138015         -0.10415923865015417      
Zeropoint     AB|DECam|DECam_i          6196.435105783577    All      0.4745661580194033         0.06639625769846447       0.11226633328730605        -0.12794443409139344      
Check         All|All|All               All                  All      0.9970522343381699         0.9995903796617966        -0.00019637878175927936    0.0008179939513112966     
Lambda        AB|DECam|DECam_z          7261.310606901774    All      -0.0002501510392142565     -5.066170982758639e-05    -0.0003624089905589123     4.880758882087921e-05     
Lambda        AB|DECam|DECam_g          3837.611607452232    All      -0.001114737706281573      0.0007218019965304301     -0.001688540947394961      0.0005228695742732552     
Lambda        AB|DECam|DECam_r          5100.470919207501    All      7.726022416915605e-05      1.4221294381875694e-05    -0.00016464498457052147    -2.788120282522534e-05    
Lambda        AB|DECam|DECam_i          6196.435105783577    All      -3.7853448636057285e-05    -4.228545535896488e-06    -2.8128419508570876e-05    9.69749499266664e-06      
MWEBV         All|All|All               All                  All      -0.41409790322667384       -2.981906774752474        0.17108796536421134        -0.8287849577429652       
Redshift      All|All|All               All                  All      5.435518975200366          1.077624326894977         4.645750748664428          -1.212191138676991        
