#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_z          7261.310606901774    All      0.9695540422510268         0.16261251650409037       0.5324494596621321        -0.23908662859062685      
Zeropoint     AB|DECam|DECam_g          3837.611607452232    All      -0.7005983157060057        0.6914135589640935        0.280954245825793         0.46596176102548303       
Zeropoint     AB|DECam|DECam_r          5100.470919207501    All      0.23430375335724668        0.08762201641570044       -0.9668714663463529       -0.09092610027068293      
Zeropoint     AB|DECam|DECam_i          6196.435105783577    All      0.49425500829608693        0.05774435933840749       0.15844218127214482       -0.13511533228775102      
Check         All|All|All               All                  All      0.9975144881983548         0.9993924512222918        0.0049744204137169845     0.0008336998764222336     
Lambda        AB|DECam|DECam_z          7261.310606901774    All      -0.00033005243592863645    -7.890071913855844e-05    -0.0007104916901487828    5.010239584354879e-05     
Lambda        AB|DECam|DECam_g          3837.611607452232    All      -0.0011798719303106112     0.0006735583681066959     -0.0019201844127622065    0.0005180342129866074     
Lambda        AB|DECam|DECam_r          5100.470919207501    All      0.00010975751003027912     2.6431825747072622e-05    5.6972307397847156e-05    -2.459950428980503e-05    
Lambda        AB|DECam|DECam_i          6196.435105783577    All      -7.972469584381232e-05     -9.074513618302631e-06    -5.410280817077866e-05    2.0598728829352774e-05    
MWEBV         All|All|All               All                  All      -0.4104879219636457        -2.983603515713007        0.20022576971889805       -0.8292132453738998       
Redshift      All|All|All               All                  All      5.621068756907892          1.1866780062998572        5.051974789601799         -1.2189805226164783       
