#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5069.100157089452    All      -2.1324569311909674        1.7453189234940325        -0.5772424637999486       1.2373594909265169        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6070.252450207009    All      3.1302072883330254         -0.7414093137175115       0.5823018148570203        -1.2351274441091613       
Check         All|All|All                            All                  All      0.9977503571420583         1.003909609776521         0.00505935105707167       0.0022320468173555597     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5069.100157089452    All      -0.00037615454305825035    1.6606305523226005e-05    -0.002084991889127889     3.4891517840702124e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6070.252450207009    All      -0.0009049870505558068     0.0001671349361162229     -0.0012770007350932694    0.0002922387250697889     
MWEBV         All|All|All                            All                  All      -0.47166920821654745       -2.868499530480051        -0.013685599393948818     -0.7813372147819136       
Redshift      All|All|All                            All                  All      4.342592119897618          -0.9186274982894815       -4.550529526266269        -1.9168215515588205       
