#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5285.250636838838    All      0.11593024333917956        0.17064123527781305       -0.18593652205736166       0.009523677008721476       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4314.610809251657    All      -0.7819036135132407        0.5091435705216085        -0.09262280639623643       0.4164032115825944         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8074.994724315434    All      0.12727208973967413        -0.03175135509163596      0.025189544025822075       -0.050675074039013834      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6309.417286841415    All      0.8509680766991873         -0.08897960968745622      0.3835943082960591         -0.289053832622177         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5318.068204108635    All      0.30299780685454175        0.3183969633567152        -0.20029634810168617       -0.003922294197966636      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7801.515529360388    All      0.2863821310264646         -0.06154287155784033      0.2599111498093942         -0.10173197884704166       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6252.624726911226    All      0.37972601802122075        -0.04522470560335279      -0.40240300138881246       -0.15637782892991559       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4340.093128604589    All      -0.2876274621746687        0.226884394433835         0.20643636361609707        0.17680574541495409        
Check         All|All|All                       All                  All      0.9937452899923587         0.9975676216496865        -0.006127312196724244      0.0009716253701552713      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5285.250636838838    All      -4.869681151743348e-05     8.311047740183205e-05     -0.0005917701599284792     1.6525985996437744e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4314.610809251657    All      -0.00044810398490780705    0.0002380909511768323     -0.00033655416196763654    0.00020849739931435608     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8074.994724315434    All      -1.2246845671978995e-05    1.5627977545502678e-06    -3.244116829932737e-05     3.050554843492317e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6309.417286841415    All      -0.00020277142998291624    1.4018612794041681e-05    -0.0004510157477713645     5.048888773038469e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5318.068204108635    All      7.250489100683055e-06      0.00012091070256439443    -0.0008538412266082577     -1.0801415575309259e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7801.515529360388    All      1.0652516282745428e-05     2.737011062999202e-07     6.733340100401938e-05      -3.759411201611893e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6252.624726911226    All      -9.942038491038031e-05     -6.228045021344534e-07    -0.0002480257883165524     2.111337049149126e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4340.093128604589    All      -0.00011060793541205282    8.723127714916929e-05     1.4692073028398745e-05     6.509837998896181e-05      
MWEBV         All|All|All                       All                  All      -0.8125523992183599        -4.026738958076237        0.08844151243853071        -1.0430195673139409        
Redshift      All|All|All                       All                  All      3.2989029166440087         -1.5486382736461302       0.2473757054225756         -1.5679644034681584        
