#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5285.250636838838    All      0.13287044618364935        0.16346926498291836       -0.10117074147282662       0.0054522564226357605     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4314.610809251657    All      -0.8005232105232034        0.511056165414292         -0.11225774749872583       0.42221500473295437       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8074.994724315434    All      0.12459830063100477        -0.029563687771627656     0.030231228210797715       -0.04886655053347008      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6309.417286841415    All      0.8478884451235033         -0.08470686523898152      0.31895963391539717        -0.28954327052640894      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5318.068204108635    All      0.3308429282517109         0.3111941260484308        -0.07029115827344389       -0.009537032862130927     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7801.515529360388    All      0.2849507271771102         -0.05759194532206635      0.2806306239969465         -0.09905416189302765      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6252.624726911226    All      0.38675233275014564        -0.05031247038118636      -0.4905168947121955        -0.1642559015331931       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4340.093128604589    All      -0.3101990274441242        0.23329308027255635       0.14610622528868966        0.18355330963558017       
Check         All|All|All                       All                  All      0.9971809421497966         0.9968376680043356        0.0016911694546392075      -3.634655706039047e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5285.250636838838    All      -3.541887286241901e-05     4.0203862866045475e-05    -0.0005650710349530487     -5.837120716948513e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4314.610809251657    All      -0.00027643610780330607    0.00010179601355628004    -0.00044209452642162816    0.00010347399714652218    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8074.994724315434    All      -1.3670657173846533e-05    1.951989324505771e-06     -2.5199732642661464e-05    3.964261604660483e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6309.417286841415    All      -0.00029591989951061455    2.4211718801172842e-05    -0.000464502116170916      8.354880403790617e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5318.068204108635    All      -1.7188094450091417e-05    4.370612235688522e-05     -0.0007437939730571721     -1.335685912112572e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7801.515529360388    All      -1.1107192618858029e-05    4.929057928264362e-06     4.1994208478648724e-05     7.097543032148947e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6252.624726911226    All      -0.00014159559431879863    5.087505378119368e-06     -0.0001747385628548249     3.998173178690781e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4340.093128604589    All      -6.444997110226663e-05     3.07933189367576e-05      -0.00010807495197239654    2.620098424065339e-05     
MWEBV         All|All|All                       All                  All      -0.823986757594541         -4.020958351946025        0.06385836944624498        -1.0385091197841525       
Redshift      All|All|All                       All                  All      3.8789473097004494         -0.3479561662885544       0.7308370147408217         -1.3442276237685706       
