#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3722.495022810661    All      -1.0536301921524327        0.42328127306525687       0.8769951693081729        0.5202149196784721        
Zeropoint     AB|SDSS|SDSS_r            4864.188179672861    All      0.8022669922973977         0.4332670514946457        -2.428331477906446        -0.2285607013928128       
Zeropoint     AB|SDSS|SDSS_i            5898.678341361999    All      1.1076877737120374         0.13151736830803173       1.1557117035640976        -0.26639671075430754      
Zeropoint     AB|SDSS|SDSS_z            7013.03684200046     All      0.1506522824442506         0.008294962499277858      0.5041818611136026        -0.02387114168482384      
Check         All|All|All               All                  All      1.006976856301253          0.9963606553672122        0.10855725607942701       0.0013863658465279143     
Lambda        AB|SDSS|SDSS_g            3722.495022810661    All      -0.001409310827250843      0.0005082969451584217     -0.0007894419660720033    0.0005893987697255375     
Lambda        AB|SDSS|SDSS_r            4864.188179672861    All      -0.00020103995465363       -8.761000867634133e-05    -4.492268551378124e-05    3.494317200713376e-05     
Lambda        AB|SDSS|SDSS_i            5898.678341361999    All      -0.00010009310994541833    -1.775928672110194e-05    -9.137015611149315e-05    2.2741404507179754e-05    
Lambda        AB|SDSS|SDSS_z            7013.03684200046     All      -4.753311437704962e-05     -3.307257790187411e-06    -0.0001508637135605447    7.673461833572503e-06     
MWEBV         All|All|All               All                  All      -0.5770842944864332        -2.954038092380884        0.2409043220637262        -0.7635015979712444       
Redshift      All|All|All               All                  All      3.2160444382090017         -0.39207576582001025      -0.7845931368176434       -1.210296242271345        
