#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3722.495022810661    All      -0.7415950050550432       0.46927807457350923        2.524895216545864          0.5070956756662331         
Zeropoint     AB|SDSS|SDSS_r            4864.188179672861    All      0.6262468915562065        0.3424045779553353         -2.3105999614268513        -0.19556824375125403       
Zeropoint     AB|SDSS|SDSS_i            5898.678341361999    All      1.0913231085659036        0.175885323122138          -0.21793709863764388       -0.3079137354909195        
Zeropoint     AB|SDSS|SDSS_z            7013.03684200046     All      0.024193151348479415      0.009484332155551556       0.038000020255601896       -0.003095379940687426      
Check         All|All|All               All                  All      1.0001681464155465        0.9970523078065341         0.0343581767369705         0.0005183164833721943      
Lambda        AB|SDSS|SDSS_g            3722.495022810661    All      -0.001599789429452551     0.0007217656471006572      -0.0006525955026661931     0.0007270845253055179      
Lambda        AB|SDSS|SDSS_r            4864.188179672861    All      -0.0001547516982540769    -3.7325494189507254e-05    -0.00032350520368624433    2.381302643633687e-05      
Lambda        AB|SDSS|SDSS_i            5898.678341361999    All      6.156882651997851e-06     -9.546071604088447e-07     -0.000178329382198091      -1.0274467483239468e-05    
Lambda        AB|SDSS|SDSS_z            7013.03684200046     All      -8.293590547868155e-05    -1.8408012571189997e-06    -0.00036809370330758486    9.989012009258446e-06      
MWEBV         All|All|All               All                  All      -0.5422194544969314       -2.96353041827917          0.24583172160215216        -0.7777302989976365        
Redshift      All|All|All               All                  All      3.6798074314163403        -1.3030989233014267        4.61600144865868           -1.4171055883555466        
