#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_V
@MAGSYS  Linear_AB11_off
52164.37  16.96  0.018
52165.39  16.899  0.01
52166.39  16.863  0.015
52167.45  16.828  0.01
52168.39  16.859  0.014
52169.38  16.849  0.016
52170.39  16.81  0.011
52171.41  16.819  0.016
52172.41  16.849  0.015
52173.41  16.862  0.012
52174.43  16.889  0.016
52175.37  16.944  0.026
52176.37  16.948  0.016
52178.5  16.986  0.015
52179.37  17.049  0.016
52182.35  17.235  0.021
52184.32  17.29  0.023
52186.47  17.422  0.024
52188.35  17.534  0.031
52190.41  17.601  0.023
52192.36  17.696  0.024
52194.35  17.811  0.037
52197.36  17.944  0.039
52199.34  18.017  0.109
52202.33  18.149  0.03
52205.29  18.33  0.035
52208.31  18.509  0.048
52219.33  19.083  0.147
52228.29  19.182  0.107
