#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6229.965211906602     All      0.7334765486376451         -0.057826655083026424     -0.16429536993229757       -0.26508523433270237       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4260.2785681354835    All      -0.667172838603896         0.4417017048981009        -0.01664658640331533       0.36045405901131683        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7703.274032837949     All      0.2681948280627305         -0.04824948539514651      0.1862813162067217         -0.09476344401874794       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5251.099808415027     All      0.2049293913477545         0.3076148632150222        -0.21007802320562852       0.024073219116643844       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4274.803427571701     All      -0.3187703055285182        0.23469570763463565       0.18364892524405593        0.18847749704286304        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4282.5005932621225    All      -0.04096852600198936       0.020970146119125843      -0.10385741672712445       0.015540783722963894       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5248.50080137381      All      0.13044567516014832        0.18139962552901068       -0.0006745376185067988     0.01656727645443874        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7653.878467723555     All      0.21566986442070624        -0.03927437268922418      0.14589761250960437        -0.07653298508016763       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6379.890713916922     All      0.4709786936645056         -0.0441499456685257       -0.018982257016240872      -0.16864143600790107       
Check         All|All|All                                      All                   All      0.9967833311590867         0.9968815885599724        0.0012936630572684682      8.973590870733905e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6229.965211906602     All      -0.00021436523485411258    3.669777063534164e-06     -0.00036374632827887736    5.478884851577869e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4260.2785681354835    All      -0.00029714321951366217    0.00012664162393299697    -0.00041851465710035876    0.0001193642786397101      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7703.274032837949     All      -5.71755565973857e-05      1.1344865436047306e-05    -2.7141068181399593e-05    2.1108174492697484e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5251.099808415027     All      -1.0753705473736629e-05    5.217434476684093e-05     -0.0007230214973029366     -1.1767392472288197e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4274.803427571701     All      -0.00011453965220338828    6.732241290931299e-05     -6.145949551117243e-05     5.6495802680023015e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4282.5005932621225    All      -4.8774437759583595e-06    2.4954120366007174e-06    -1.2596529571221083e-05    1.83945643690612e-06       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5248.50080137381      All      -3.2038633964217654e-06    3.96254455726686e-05      -0.0003810599504831237     -3.054040471367292e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7653.878467723555     All      -4.515785277326363e-05     7.764243634520165e-06     -4.006239079153341e-05     1.545066738415105e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6379.890713916922     All      -0.0001240410096040034     5.943245449605799e-06     -0.00011884370153670574    3.703669965572656e-05      
MWEBV         All|All|All                                      All                   All      -0.7939599828560224        -3.9527833530968337       0.0569388646151057         -1.0263917738724893        
Redshift      All|All|All                                      All                   All      4.882053499556475          -0.06679860477936117      3.3380792122380325         -1.4630407987815068        
