#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6229.965211906602     All      0.7315689877377983         -0.04376960722005663      -0.07116375910696249       -0.2557289999855078        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4260.2785681354835    All      -0.6742535668139253        0.42619124622458315       -0.07623026951091294       0.3550492723503301         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7703.274032837949     All      0.26705910758242385        -0.03824792667650456      0.2905267479585971         -0.08648367094091225       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5251.099808415027     All      0.2606711602388234         0.2514836667044662        -0.1919170136995163        -0.011557043782146892      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4274.803427571701     All      -0.3414978153037026        0.2540370010930104        0.3282244387823985         0.20863243143645002        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4282.5005932621225    All      -0.08578394537467056       0.03873759538297605       -0.29273274371208746       0.02749744458276568        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5248.50080137381      All      0.17070504486215002        0.17139507647234709       -0.13426702869343554       -0.005766954827623322      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7653.878467723555     All      0.18861148334707883        -0.025591841620276057     0.22945696044700536        -0.05953345973489094       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6379.890713916922     All      0.4793463609171109         -0.037123457461429865     -0.05985093682898679       -0.17090208362348924       
Check         All|All|All                                      All                   All      0.9964268171930869         0.9971117528991158        0.022046395636099447       0.0012069354749753847      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6229.965211906602     All      -0.00026380560153546796    1.0027842106610165e-06    -0.0004100057422694531     6.79601299854117e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4260.2785681354835    All      -0.00023513694311827943    6.450842639203637e-05     -0.00042935350866226974    7.844427974709605e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7703.274032837949     All      -3.790534874963694e-05     8.950233479043952e-06     7.163610274802223e-06      1.5582083660041955e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5251.099808415027     All      -1.1873540260101223e-05    2.3487778921054163e-05    -0.0009169616423478381     -2.9401441635341512e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4274.803427571701     All      -0.00011570678775955256    4.897709889718135e-05     -0.00015538404713089004    4.670888345270422e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4282.5005932621225    All      -5.59529994892161e-06      2.4463723917742075e-06    -1.3826180848112769e-05    2.00243829462683e-06       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5248.50080137381      All      -3.787465265789013e-05     3.4774424760018367e-05    -0.0005928017907388149     -2.7898266818596568e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7653.878467723555     All      -2.9909250784825484e-05    5.1056070519995016e-06    -2.367389863708325e-05     1.0349033786170873e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6379.890713916922     All      -0.00015730901234971658    3.732998337443247e-06     -0.00017342686155350675    4.47174366952213e-05       
MWEBV         All|All|All                                      All                   All      -0.8077728971675078        -3.944433860881702        0.0858648554460606         -1.0178819148267375        
Redshift      All|All|All                                      All                   All      4.615693496452565          0.3936984498738916        4.089406645333882          -1.1927512495661012        
