#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6012.358790054716     All      1.186418411959591          -0.002039086362159992     -0.9124033625172778        -0.42783607784580396      
Zeropoint     AB|SDSS|SDSS_z            7148.193419247065     All      0.08967016731717913        -0.0001526705062815381    0.03143036875750127        -0.02785566035950586      
Zeropoint     AB|SDSS|SDSS_r            4957.9317376006775    All      0.8327957037974911         0.5663511543589905        1.5462576002705397         -0.017787380521640597     
Zeropoint     AB|SDSS|SDSS_g            3794.235653501131     All      -1.1111856140100222        0.43502063076932274       -0.6613371704462745        0.47413780209387796       
Check         All|All|All               All                   All      0.9976986690642391         0.9991800282598717        0.003947436064488663       0.0006586833669275372     
Lambda        AB|SDSS|SDSS_i            6012.358790054716     All      -0.00035527584176240354    -4.015930592016216e-05    -0.0003245146079372052     8.816222623936296e-05     
Lambda        AB|SDSS|SDSS_z            7148.193419247065     All      -4.101485449627274e-05     -1.993963417149913e-06    -5.4084024616877485e-05    1.0296866353944826e-05    
Lambda        AB|SDSS|SDSS_r            4957.9317376006775    All      -0.0001887464171160838     -0.0001131908031039507    -0.0015557148753445917     -4.4813460557028e-05      
Lambda        AB|SDSS|SDSS_g            3794.235653501131     All      -0.0017633476246404582     0.000454371205530224      -0.002395836881151933      0.0006154687874439308     
MWEBV         All|All|All               All                   All      -0.5384994673636072        -3.049145377807605        0.11451091289065296        -0.8126898747159539       
Redshift      All|All|All               All                   All      5.736550033397998          0.8975981890127827        9.631592546364741          -1.1463920734635982       
