#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4365.468685915752     All      -0.38723662029528494       0.2114238071203367         -0.15192336578353383       0.1882237544961816         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5459.944078975637     All      0.3880247502492377         0.05617731420133332        0.0032138314179079395      -0.10795020884158013       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4364.28015189202      All      -0.33406394313521603       0.17489399561059216        -0.16068825251670432       0.1586135661729706         
Zeropoint     AB|CNIa02|SDSS_i                      7465.505670111304     All      0.18940427458293363        -0.029083377569971702      0.04630888495181305        -0.06910206349006741       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7518.733192832715     All      0.22113142207990388        -0.03777557715478608       0.02434427755299523        -0.08324815414004222       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6196.027273679959     All      0.6456868341732771         -0.07014203995616697       -0.002386845377026215      -0.23327552832120413       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5470.73780814362      All      0.48312968674133844        0.055851563984088415       -0.039755170960674324      -0.1409526323058184        
Zeropoint     AB|CNIa02|SDSS_g                      4711.277016901611     All      -0.32452139771598154       0.3726030251535395         0.22126565522103195        0.23695042919700407        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4700.2997904633685    All      -0.33997121557381965       0.3053438594189828         -0.01102448978970711       0.20970837781485754        
Zeropoint     AB|CNIa02|SDSS_r                      6156.230656145823     All      0.45582919816359685        -0.04293996398798683       0.07135149665623017        -0.15928143554061244       
Check         All|All|All                           All                   All      0.9974129892699855         0.9963526068199613         0.0007060213723325548      -0.0003138949583109396     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4365.468685915752     All      -0.00019777104351898015    7.167639732800402e-05      -0.0002790174583888611     7.5316628354303e-05        
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5459.944078975637     All      8.287886083420225e-05      -1.0077334157766848e-06    -0.00015093154041144683    -3.4060004979266175e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4364.28015189202      All      -0.00017395128829623534    6.464242058818046e-05      -0.00022913428687109982    6.749260963618082e-05      
Lambda        AB|CNIa02|SDSS_i                      7465.505670111304     All      -1.9486320772162094e-05    8.965569387047422e-08      -2.9139939970248633e-05    5.076157879514172e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7518.733192832715     All      -3.8041622034311006e-05    -1.4214605428566238e-06    -7.113419620466307e-05     8.753998896226562e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6196.027273679959     All      -0.00011716762104690165    -3.82458000717408e-06      -0.00014812298758289864    3.0309508710381258e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5470.73780814362      All      9.970889616805986e-05      -2.1343658659126073e-05    -0.0003978925221693934     -5.718691542814099e-05     
Lambda        AB|CNIa02|SDSS_g                      4711.277016901611     All      -0.00013394246313527645    -6.489557817844182e-05     -0.0008142028198951451     -1.3843290348143404e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4700.2997904633685    All      -5.217400644666481e-05     -1.9893136375460963e-05    -0.00038980399213323503    -6.880220472654514e-06     
Lambda        AB|CNIa02|SDSS_r                      6156.230656145823     All      8.761902160701473e-06      -4.47275423052159e-06      -3.00289822801944e-05      -5.651018554921725e-06     
MWEBV         All|All|All                           All                   All      -0.8962257802180811        -4.0933317242922485        0.008908312822412567       -1.0410050505594455        
Redshift      All|All|All                           All                   All      4.227248608026982          0.7615377004396962         1.6788478510132925         -1.0539767921819105        
