#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4365.468685915752     All      -0.42402272332466695       0.22339746917934278        -0.1870592355701972        0.20253846163872727        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5459.944078975637     All      0.4044936838731811         0.05788878439485501        0.03791322615205317        -0.11120872556856509       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4364.28015189202      All      -0.366077215975844         0.18269825183532262        -0.2025043071727961        0.16971738688224547        
Zeropoint     AB|CNIa02|SDSS_i                      7465.505670111304     All      0.19471640669956564        -0.028400852606402793      0.05730233495042647        -0.0701194916670228        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7518.733192832715     All      0.24216423435058593        -0.03842577391273139       0.04696891651290169        -0.08930138980490221       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6196.027273679959     All      0.6833792844693654         -0.0655081987164241        0.07972958104163208        -0.2403793259228293        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5470.73780814362      All      0.5152600629988352         0.0581765324505934         0.005258493131787834       -0.14865248110396967       
Zeropoint     AB|CNIa02|SDSS_g                      4711.277016901611     All      -0.30177880134972623       0.33924229548176754        0.17014048665283665        0.2163942486980236         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4700.2997904633685    All      -0.3562428913879613        0.2984763239553878         -0.0996548241536388        0.20881645095579826        
Zeropoint     AB|CNIa02|SDSS_r                      6156.230656145823     All      0.42190663437300957        -0.037704860400111784      0.08347523385031641        -0.14598546831779413       
Check         All|All|All                           All                   All      1.0137986747263443         0.9898399716615991         -0.008430094604677807      -0.008180334210288631      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4365.468685915752     All      -0.00022111377132221088    6.426716906252251e-05      -0.00030678034540619696    7.926776321305681e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5459.944078975637     All      5.337439748890272e-05      1.7348704271857421e-06     -0.00015425581933540527    -2.3704421599565963e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4364.28015189202      All      -0.00018389588653992228    5.657464630444052e-05      -0.0002472307985502143     6.729638874364281e-05      
Lambda        AB|CNIa02|SDSS_i                      7465.505670111304     All      -2.485122357193262e-05     8.203126113237004e-07      -3.0763630153120274e-05    6.989224381849787e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7518.733192832715     All      -4.5009893541483394e-05    9.446910725026029e-08      -7.312164608690302e-05     1.1428891574862524e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6196.027273679959     All      -0.00015701911384314985    -3.7453876339606303e-06    -0.0001920974638918144     4.1353867640394354e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5470.73780814362      All      4.8296284088180904e-05     -1.2709057686093114e-05    -0.00043546573103096054    -3.930428238616144e-05     
Lambda        AB|CNIa02|SDSS_g                      4711.277016901611     All      -5.544744231211337e-05     -0.0001310687777020619     -0.0009627988425706749     -6.759764717333258e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4700.2997904633685    All      -4.6762627736175185e-05    -4.9470913419813107e-05    -0.0004080742114710582     -1.9092655588004202e-05    
Lambda        AB|CNIa02|SDSS_r                      6156.230656145823     All      6.968231977750047e-06      -8.64878839580843e-06      -2.7838150290571573e-05    -6.329266111845857e-06     
MWEBV         All|All|All                           All                   All      -0.8959586539652582        -4.0926566758030525        0.012694416174091616       -1.0407032204631739        
Redshift      All|All|All                           All                   All      4.871594775728683          1.1489352635874361         2.266147295759141          -1.1114649291929137        
