#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|WFC3|WFC3_f125w        4951.238132249884     All      -0.9233607927167504       1.2776990163228419         0.39019159190641645       0.7343700511826617        
Zeropoint     AB|WFC3|WFC3_f160w        6077.2817006239875    All      2.2517877775291164        -0.38627011370504505       -0.14101451422199382      -0.8655950748151708       
Zeropoint     AB|ACSWF|F850LP           3574.919970448225     All      -0.35479156528584244      0.11550858556095278        -0.2659542690212484       0.14132391400354535       
Check         All|All|All               All                   All      0.9736354195265231        1.0069374881787496         -0.016777191336825786     0.010098890371036257      
Lambda        AB|WFC3|WFC3_f125w        4951.238132249884     All      -0.0007758729707346341    -3.3124149366783356e-05    -0.0032187984612923       9.82975349090572e-05      
Lambda        AB|WFC3|WFC3_f160w        6077.2817006239875    All      -0.0002739458704710282    -3.0523306253428954e-05    -0.0006932914366554424    4.835232488462661e-05     
Lambda        AB|ACSWF|F850LP           3574.919970448225     All      -0.0008725461851406231    0.0002814568466857323      -0.0006688188059529211    0.00034605044150189096    
MWEBV         All|All|All               All                   All      -0.1152062577630032       -0.9655458216087709        0.00934556568727953       -0.27656652161127376      
Redshift      All|All|All               All                   All      3.817680950925941         -0.05108253343557578       3.7744676116144444        -1.0917463913909895       
