#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4144.864720855968    All      -2.9340442173682817       0.6412985582553432        -0.32205329830209356       1.1502350077381884         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4963.479601476049    All      3.9273256525984355        0.36085614031193813       0.32165045435055223        -1.147362671022955         
Check         All|All|All                            All                  All      0.9932814352301534        1.0021546985672813        -0.0004028439515413318     0.002872336715233459       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4144.864720855968    All      -0.0013647109467663377    0.00013845162056496375    -0.0013757350812295798     0.0004282367626067912      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4963.479601476049    All      0.00022166244414507122    -3.550275425613129e-05    -0.00048667422524610875    -0.00010548520106186301    
MWEBV         All|All|All                            All                  All      -0.034834336254432774     -2.145359489762022        0.01670263293766559        -0.6867221149169802        
Redshift      All|All|All                            All                  All      6.509581624004327         0.7933114356070803        3.1128191944106547         -1.723066436079149         
