#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_B
@MAGSYS  Linear_AB11_off
58441.83211  17.305  0.05
58441.83475  17.297  0.053
58443.84914  17.16  0.041
58444.66759  17.185  0.054
58444.67042  17.183  0.053
58446.84057  17.119  0.05
58446.84321  17.127  0.05
58449.25741  17.094  0.034
58449.26003  17.095  0.051
58453.24022  17.231  0.05
58453.24284  17.335  0.051
58454.97432  17.288  0.051
58454.97713  17.437  0.051
58457.24935  17.631  0.047
58457.25215  17.644  0.051
58458.18917  17.727  0.051
58462.28299  18.191  0.052
58462.28579  18.216  0.049
58462.80343  18.171  0.049
58462.80624  18.199  0.049
58469.15767  18.908  0.058
58469.16049  18.941  0.054
58471.15439  19.161  0.06
58471.15716  19.106  0.055
58481.52984  19.86  0.061
58482.59931  19.942  0.057
58482.60326  19.962  0.054
58488.17088  20.171  0.061
58511.88019  20.333  0.06
58511.88412  20.396  0.06
58516.07479  20.443  0.058
58516.07874  20.318  0.057
