#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5296.443767479851    All      0.5850342196475359         0.24966864761744034       0.06456095861934186        -0.10635854094437971       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4226.387778852944    All      -0.6498589243828707        0.3885462152840802        -0.028583041150076482      0.33696718665452463        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4550.551388777689    All      -0.6631006043607455        0.4939692319686273        -0.11537530971901244       0.3717470419862763         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7279.191391560337    All      0.5332113587766963         -0.0775664976774948       0.19873667112872972        -0.1900817369737965        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5998.625996655672    All      1.1933253967308879         -0.057115684061415095     -0.11867234712266139       -0.41260560011339015       
Check         All|All|All                      All                  All      0.9986114464115038         0.9975019131312379        0.0006669317563212651      -0.00033164939076540945    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5296.443767479851    All      0.00018693473079370282     -1.854550488652152e-05    -0.001204897154607235      -0.00012070069897765979    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4226.387778852944    All      -0.0003289174841301299     0.00012610160215959778    -0.00033628364815702744    0.00013320789136554232     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4550.551388777689    All      -0.00016170429938632832    4.606059417864503e-06     -0.0005654205924678571     2.894063115182293e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7279.191391560337    All      -0.0001537818777000404     -4.252335968217106e-05    -0.000877287741477721      -2.9087630503512853e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5998.625996655672    All      -0.00023611524717006869    -3.261010169272265e-05    -0.000733582482877581      3.3551904014044766e-05     
MWEBV         All|All|All                      All                  All      -0.8209972226358415        -3.932318544588931        -0.006785004182252585      -1.0137624975654913        
Redshift      All|All|All                      All                  All      6.275077401897146          -0.35008477823170736      9.268100871234463          -1.7444405083940495        
