#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5296.443767479851    All      0.5660582101230209         0.25540782183046673       -0.013104947253081915     -0.10177386516815196       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4226.387778852944    All      -0.620910113853204         0.3723838507056598        -0.061172158367707584     0.32081869018322084        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4550.551388777689    All      -0.6607563738458742        0.5057170763130614        -0.07342584515017214      0.376682120317056          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7279.191391560337    All      0.5222576170072085         -0.08102807916774424      0.13962184842004574       -0.19027931691902492       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5998.625996655672    All      1.1920495034906644         -0.055273600721506        0.009203592705862598      -0.40588345668125975       
Check         All|All|All                      All                  All      0.9986988429218159         0.9972070689599377        0.0011224903549467112     -0.0004358282681597436     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5296.443767479851    All      0.00016210444098689063     -4.365446713228374e-06    -0.0011036350879347916    -0.00010347488428247083    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4226.387778852944    All      -0.0003410811177478393     0.00013999268574404095    -0.0003288071741516628    0.00014202841062967505     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4550.551388777689    All      -0.00019615929015092168    3.00914433775399e-05      -0.0006131026785431608    4.633735067363145e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7279.191391560337    All      -0.0001415825066727324     -3.456813975502216e-05    -0.0006898004874781225    4.07547235609363e-06       
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5998.625996655672    All      -0.0001554684904241607     -3.122987778848501e-05    -0.0005778706194285424    1.468089178305061e-05      
MWEBV         All|All|All                      All                  All      -0.8166338503624568        -3.9335437938848195       0.006505535029726218      -1.014989799747            
Redshift      All|All|All                      All                  All      6.116307354165312          -0.5809250859019954       8.081484407757523         -1.8208694059298134        
