#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4364.873922945963     All      -2.7183806825446077       0.9540803151130817        -0.3148925075785458       1.182189160950954         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5226.9408385137685    All      3.7152037394329342        0.04904469033348846       0.3207858417088483        -1.179873416542454        
Check         All|All|All                            All                   All      0.9968230568883264        1.0031250054465701        0.005893334130302463      0.00231574440850002       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4364.873922945963     All      -0.0005430650714823156    0.00013070681142908838    -0.0007710211387840306    0.00018506253644885726    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5226.9408385137685    All      0.001549446503017991      2.214022713804786e-05     0.00019134616607980367    -0.0004889550003671044    
MWEBV         All|All|All                            All                   All      -0.07958478896981447      -2.340943790449579        0.0055643841409436234     -0.7363507103753927       
Redshift      All|All|All                            All                   All      0.2642861603482676        -0.6971088714307072       -3.3969592597853593       -0.4647486809021398       
