#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4364.873922945963     All      -2.593555846593608        0.9297290134526293        -0.20116919500445646      1.1386725343096504        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5226.9408385137685    All      3.5893629163279885        0.07228007314683538       0.19836570043284027       -1.1367774404631448       
Check         All|All|All                            All                   All      0.9958070697343808        1.0020090865994646        -0.0028034945716161885    0.0018950938465056577     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4364.873922945963     All      -0.0004045110827620641    4.2577363395440003e-05    -0.0010422298075826915    9.912148616243498e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5226.9408385137685    All      0.001233908341117379      1.6246027001863988e-05    -4.235625049985788e-06    -0.0003968216921001183    
MWEBV         All|All|All                            All                   All      -0.08028106799472434      -2.341359169559354        -0.00523402708309674      -0.7367410955293204       
Redshift      All|All|All                            All                   All      0.39511680103648805       -0.5691011917491551       -5.0319210176874645       -0.5386290463220932       
