#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7380.067518125423    All      0.5514885856848115         -0.10286389528815221       0.21106766109374453        -0.20372515029417615      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6036.109002081698    All      1.2945780076890463         -0.09263834823656225       0.050550827391149245       -0.4496061539325802       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5214.451161498658    All      0.2406151068765655         0.4757987638519978         -0.11154659426565461       0.07162924220229239       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4268.61046536798     All      -1.0907219333538483        0.7186114675455713         -0.14901548424648414       0.5827095373151958        
Check         All|All|All                              All                  All      0.9959597668965752         0.9989079878728546         0.0010564099727550236      0.001007475290731863      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7380.067518125423    All      -0.00015263512770965332    -5.751404600080624e-07     -0.0004322043521003186     3.0243645280749707e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6036.109002081698    All      -2.8186495540400764e-05    -5.6372433914559674e-05    -0.0008446885791783917     -4.687565919270312e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5214.451161498658    All      2.402531160032916e-05      0.00020932392373011882     -0.0009021382616457603     2.0099566867856842e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4268.61046536798     All      -0.0005896315931083484     0.0003459066896456315      -0.00033808352596161935    0.00028964848198607105    
MWEBV         All|All|All                              All                  All      -0.8349601815562142        -3.957014472273812         0.016488611123821606       -1.0162199840370145       
Redshift      All|All|All                              All                  All      4.599297388387981          -0.9275791112337117        3.721751941879825          -1.6342008089850673       
