#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_B
@MAGSYS  Linear_AB11_off
56265.113630000036  19.112  0.018
56266.11586999986  18.957  0.013
56268.196169999894  18.658  0.014
56269.2487900001  18.541  0.013
56270.20922000008  18.502  0.014
56271.175019999966  18.416  0.013
56272.16280000005  18.356  0.012
56273.15020000003  18.376  0.012
56274.087340000086  18.319  0.013
56275.10703000007  18.291  0.016
56276.159289999865  18.343  0.013
56277.11310000019  18.393  0.013
56279.14203999983  18.404  0.015
56280.07537000021  18.441  0.011
56281.09938000003  18.465  0.016
56282.05983999977  18.544  0.014
56283.05960999988  18.534  0.02
56284.15266000014  18.6  0.022
56290.05859000003  19.1  0.034
56293.06713999994  19.529  0.021
56301.10710000014  19.973  0.039
56306.07582999999  20.265  0.083
