#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7380.067518125423    All      0.49652226096687085        -0.09821530071008056       0.08982396811840399        -0.1897171589722248        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6036.109002081698    All      1.2901836625510075         -0.09205199510784468       -0.03633564101869433       -0.45186112067700757       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5214.451161498658    All      0.277167187467984          0.4926027646664721         0.024521044066612277       0.07126871668912509        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4268.61046536798     All      -1.066158742360455         0.695842272403624          -0.07717269169469601       0.5704978358312397         
Check         All|All|All                              All                  All      0.9977143686254073         0.9981777412521708         0.0008366794716259118      0.00018827287113232227     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7380.067518125423    All      -0.00014051810996851193    -2.5109504374543187e-06    -0.0003645486047206075     2.86853422424542e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6036.109002081698    All      -0.00016819272408298826    -2.7764570360505394e-05    -0.0006200352638235177     1.807274351096448e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5214.451161498658    All      3.9901491411310254e-05     0.00010631276121083783     -0.0008329074793658735     -1.5536499958826416e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4268.61046536798     All      -0.00041016685814172034    0.00020890303303774667     -0.00039790227354254777    0.00018389487938245535     
MWEBV         All|All|All                              All                  All      -0.836852685729149         -3.9551388594777137        0.0044473932300889965      -1.0155299286241182        
Redshift      All|All|All                              All                  All      5.194792681924076          0.13517187255462915        4.910009366476059          -1.4289737870235268        
