#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4812.71503353724     All      -2.323305896659777        1.4531688130757558        -0.3888562375400758       1.2127691873591344       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5763.231011251453    All      3.3209863413012704        -0.4501159462069637       0.39207858519380057       -1.2108754141161835      
Check         All|All|All                            All                  All      0.9976804446414932        1.0030528668687921        0.0032223476537247553     0.0018937732429509246    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4812.71503353724     All      -0.000441176891338224     -3.099449592083516e-06    -0.0017540101979555231    6.44228158391641e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5763.231011251453    All      -0.0006849172621435552    9.442448797449523e-05     6.238725899494936e-05     0.0002566413044300842    
MWEBV         All|All|All                            All                  All      -0.3401690814300222       -2.6882034041783243       -0.01795907022491706      -0.7656334577749563      
Redshift      All|All|All                            All                  All      2.466139391723553         1.6121478341851514        3.0956680834374675        -0.14002769710340987     
