#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                            8547.377993288075    All      0.23562701700809546        -0.06308043189022783       0.09368241513527858        -0.09311822736963848       
Zeropoint     AB|PS|PS_r                            6140.431016634897    All      0.7117946385383862         -0.02752499382712159       0.3171614097000425         -0.22666727010964235       
Zeropoint     AB|PS|PS_g                            4835.243513050151    All      -0.6000480366342025        0.8114601004473698         0.6409735500721075         0.48837834314053785        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.592411592075    All      0.07899140876855157        0.2695114742401472         -0.19916277518801095       0.05317093331297659        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4327.230017487139    All      -0.4306711451849631        0.24523413531776228        -0.407385300730668         0.2019848515643726         
Zeropoint     AB|PS|PS_i                            7437.391835437918    All      0.30098684028418987        -0.06824372721414562       0.13059263625279235        -0.11444279359338859       
Zeropoint     AB|CNIa02|SDSS_r                      6103.967931183318    All      0.430613129123797          -0.09546217900293641       -0.5860820109056577        -0.1975141835898399        
Zeropoint     AB|CNIa02|SDSS_i                      7402.127981500249    All      0.2687856969672378         -0.07472859015154043       0.00901194661268607        -0.11149174281200008       
Check         All|All|All                           All                  All      0.9960795488710925         0.9971657879193074         -0.0012081290514295764     0.0002999105433775795      
Lambda        AB|PS|PS_z                            8547.377993288075    All      0.00021673809893419884     -6.43822754631464e-05      4.444197946617358e-05      -8.958691309787606e-05     
Lambda        AB|PS|PS_r                            6140.431016634897    All      -0.00010121944444197779    -9.978204770120405e-06     -0.00018823514172043666    2.1320203666500835e-05     
Lambda        AB|PS|PS_g                            4835.243513050151    All      -0.00023068948992755012    5.379717599456878e-05      -0.000795308677338098      5.7175692875178985e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.592411592075    All      -2.4356869686107816e-05    3.3655825246338654e-05     -0.000352499703868837      3.1662004893862536e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4327.230017487139    All      -0.00019402094741552607    9.066806837656803e-05      -0.00027838316659782375    8.030961627628412e-05      
Lambda        AB|PS|PS_i                            7437.391835437918    All      -2.5446301406832367e-05    -2.3063396018792872e-05    -0.0002276574053663691     -9.383113728714356e-06     
Lambda        AB|CNIa02|SDSS_r                      6103.967931183318    All      3.351054343711095e-05      -1.679849739045575e-05     -0.0001416723160054133     -2.2709494501729097e-05    
Lambda        AB|CNIa02|SDSS_i                      7402.127981500249    All      2.0392803221389368e-06     -8.215648718717328e-06     -5.669356522465847e-05     -5.870341197600807e-06     
MWEBV         All|All|All                           All                  All      -0.761355634888158         -4.09297668588664          0.04250650832030669        -1.083321713146124         
Redshift      All|All|All                           All                  All      4.676161020957517          0.6451544060460002         3.7668863875732814         -1.1449326318612303        
