#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                            8547.377993288075    All      0.22469583685018993        -0.0630551860700379        0.06217237904370121        -0.09095550716327061       
Zeropoint     AB|PS|PS_r                            6140.431016634897    All      0.7143901486427592         -0.03323200922515923       0.3050447694157077         -0.2299123858169272        
Zeropoint     AB|PS|PS_g                            4835.243513050151    All      -0.5542506578940648        0.7616225417484301         0.6703928979517881         0.45853974809833553        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5413.592411592075    All      0.10997193780060333        0.2888731591207616         -0.15741200831647095       0.051249438495375166       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4327.230017487139    All      -0.48537646516885025       0.2791767055664529         -0.4175681816984689        0.23040597063277296        
Zeropoint     AB|PS|PS_i                            7437.391835437918    All      0.29637446357091357        -0.06425043863327318       0.1465981166148933         -0.11092539421105746       
Zeropoint     AB|CNIa02|SDSS_r                      6103.967931183318    All      0.43861764878796267        -0.10081675738895512       -0.6035997828943596        -0.2026474190336955        
Zeropoint     AB|CNIa02|SDSS_i                      7402.127981500249    All      0.2511968682868954         -0.07074539464166918       -0.004295834283873923      -0.10505888997571836       
Check         All|All|All                           All                  All      0.995619780876409          0.99757262047655           0.0013323558329170204      0.0006955610258145561      
Lambda        AB|PS|PS_z                            8547.377993288075    All      0.000177929399752006       -5.967254118254282e-05     -1.840223859394302e-05     -7.821597642407786e-05     
Lambda        AB|PS|PS_r                            6140.431016634897    All      -0.00017213176589669625    3.835070596803631e-06      -0.00027116610858525194    4.521728977762879e-05      
Lambda        AB|PS|PS_g                            4835.243513050151    All      -0.00025224612417222824    4.24524702154321e-05       -0.0008460140166484533     5.823930752665219e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5413.592411592075    All      -4.894281384003592e-06     1.0780494131277305e-05     -0.00038198751294108216    -1.1940558227246699e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4327.230017487139    All      -0.0001816316901850393     8.26757919326909e-05       -0.00027703112226903285    7.373101575468166e-05      
Lambda        AB|PS|PS_i                            7437.391835437918    All      -4.926829648917393e-05     -1.792990313134822e-05     -0.00024206375133470484    -5.942477443090754e-07     
Lambda        AB|CNIa02|SDSS_r                      6103.967931183318    All      4.1667198276915156e-05     -4.0200475812389267e-05    -0.00020399468599652379    -3.577034073968345e-05     
Lambda        AB|CNIa02|SDSS_i                      7402.127981500249    All      -9.951641247593535e-06     -6.867868847186131e-06     -6.603702076558996e-05     -1.9424428157910176e-06    
MWEBV         All|All|All                           All                  All      -0.7755481781334588        -4.085879608440202         0.04779646057326836        -1.0761509170059302        
Redshift      All|All|All                           All                  All      4.742819551661219          0.7948805340961762         3.794619008920175          -1.1166372030433156        
