#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6845.748816275097     All      0.25522855751868745       0.038163384659206656       0.2547536711340559         -0.05933678173098214       
Zeropoint     AB|SDSS|SDSS_g            3633.6991335021926    All      -0.9192139190389422       0.4301503935341344         0.460384263789404          0.460077184596816          
Zeropoint     AB|SDSS|SDSS_r            4748.158497287504     All      0.43621269128700413       0.37432761716367224        -0.25086000730292213       -0.03135273456802354       
Zeropoint     AB|SDSS|SDSS_i            5757.972071546664     All      1.2264801977076287        0.15721399956198923        -0.4537335428705269        -0.3685432226445934        
Check         All|All|All               All                   All      0.998707527474378         0.9998553949190025         0.010544384750010849       0.000844445653216952       
Lambda        AB|SDSS|SDSS_z            6845.748816275097     All      -8.079013614153884e-05    -1.4560620448019757e-05    -0.00013221038504323364    1.5673189883581786e-05     
Lambda        AB|SDSS|SDSS_g            3633.6991335021926    All      -0.001613047187053913     0.00047707084377711264     -0.0008539236999083423     0.0006427135126852061      
Lambda        AB|SDSS|SDSS_r            4748.158497287504     All      -0.0001027740243042955    -6.214360455419851e-05     -0.0009572051044504806     -2.9481003113882366e-05    
Lambda        AB|SDSS|SDSS_i            5757.972071546664     All      -0.0006743549003595838    -0.00012175474534460834    -0.0001403219931731475     0.0001737381244137636      
MWEBV         All|All|All               All                   All      -0.568716250617594        -2.8344256597085504        0.10146272737285855        -0.7334882786452362        
Redshift      All|All|All               All                   All      6.545599797843339         0.23239395289298415        1.8296318808626921         -1.9747707743557545        
