#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6845.748816275097     All      0.23561005058415113        0.06047601513188283       0.6556574531450051        -0.027787936277329835      
Zeropoint     AB|SDSS|SDSS_g            3633.6991335021926    All      -0.9969502102737442        0.38712890674936773       -0.014237513838457502     0.45020474841278285        
Zeropoint     AB|SDSS|SDSS_r            4748.158497287504     All      0.5470262886915976         0.38325659474942597       -0.1360747573247085       -0.05941756863050707       
Zeropoint     AB|SDSS|SDSS_i            5757.972071546664     All      1.211717200805159          0.1678277329437705        -0.5019635651490618       -0.3624294711031955        
Check         All|All|All               All                   All      0.9974033298071637         0.998689249574447         0.0033816168327772678     0.0005697724017504346      
Lambda        AB|SDSS|SDSS_z            6845.748816275097     All      -0.0001285304356841198     -3.658390661907644e-05    -0.0004149199803105394    1.1434036404722948e-05     
Lambda        AB|SDSS|SDSS_g            3633.6991335021926    All      -0.0019482541651693029     0.00047508970239380907    -0.0017536198328211218    0.0007111068242562275      
Lambda        AB|SDSS|SDSS_r            4748.158497287504     All      -0.00016969161686409501    -6.519719629432713e-05    -0.0011142552238882755    -1.5686822509096367e-05    
Lambda        AB|SDSS|SDSS_i            5757.972071546664     All      -0.00046008132611005285    -8.77864487595541e-05     -0.0002811072081773944    0.00010872416606846766     
MWEBV         All|All|All               All                   All      -0.542848668630691         -2.834720563114601        0.17017743448722936       -0.7389438390746449        
Redshift      All|All|All               All                   All      7.223550772833718          0.11813249067706977       4.3150501670633945        -2.1219076251690434        
