#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5899.081466453246    All      2.1183202358563893         -0.33396526989193376      -0.6511381864460652       -0.8278473737105648       
Zeropoint     VEGAHST|NICMOS2|F110W_faint         8564.536949755691    All      0.73136465039237           -0.12152310981186076      0.8464292593601819        -0.24004135233611917      
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4854.418891521583    All      -1.9357046303872911        1.4774692504033737        -0.24108947104768408      1.1010243072498802        
Check         All|All|All                         All                  All      0.9139802558614681         1.0219808706995792        -0.04579839813356745      0.03313558120319615       
Lambda        Linear_AB11_off|Knop|Bessell12_I    5899.081466453246    All      -0.00028054822800318603    2.6359537160583513e-06    -0.0003517464155773902    7.654557745444363e-05     
Lambda        VEGAHST|NICMOS2|F110W_faint         8564.536949755691    All      -8.822802175520534e-05     1.793333255673346e-05     -7.790299119815585e-05    3.1103793002537934e-05    
Lambda        Linear_AB11_off|Knop|Bessell12_R    4854.418891521583    All      -0.0010752722335316343     0.0002802799084532647     -0.0019416472264986192    0.0003549011309298333     
MWEBV         All|All|All                         All                  All      -0.3564567337982072        -2.768753263829282        0.04388667977490712       -0.7838058810755416       
Redshift      All|All|All                         All                  All      6.076702709851048          0.7139734373300399        13.005123060477619        -1.166458440793347        
