#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    5899.081466453246    All      2.2541771911670105        -0.3482954043384723       -0.6740392728108748        -0.8777902201565383       
Zeropoint     VEGAHST|NICMOS2|F110W_faint         8564.536949755691    All      0.5255796244526661        -0.07869732082266268      0.6779931321337777         -0.16657716161987013      
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4854.418891521583    All      -1.771375274454387        1.4273958965244304        0.01603202747187421        1.042660442587122         
Check         All|All|All                         All                  All      1.0083815411652897        1.0004031713632955        0.01998588679477703        -0.0017069391892865493    
Lambda        Linear_AB11_off|Knop|Bessell12_I    5899.081466453246    All      -0.0005542002243548338    6.812577941168102e-05     -0.0005898373313278371     0.00017639032227185708    
Lambda        VEGAHST|NICMOS2|F110W_faint         8564.536949755691    All      -8.631423506863571e-05    1.635502634389614e-05     -0.00011124477176664992    2.8478412925244562e-05    
Lambda        Linear_AB11_off|Knop|Bessell12_R    4854.418891521583    All      -0.0007958591514693537    0.00010071437751785058    -0.0021408931118257588     0.0001965052679697314     
MWEBV         All|All|All                         All                  All      -0.3238869262118924       -2.7757341481549958       0.07151634503357407        -0.7954558575483726       
Redshift      All|All|All                         All                  All      7.294380317929907         0.9919961618841455        16.77825811741198          -1.3041572618763257       
