#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5158.639364883431     All      0.8590579887406435         0.4184910790808516        0.5428438840439727         -0.1192825073438983       
Zeropoint     AB|SDSS|SDSS_u            3002.2749506057735    All      -0.04110669591845987       0.02615885457792899       0.1118900114342553         0.026903740085629263      
Zeropoint     AB|SDSS|SDSS_g            3947.834386938791     All      -0.9740857299823359        0.5148446047883226        -0.6217632130157854        0.4572471578460899        
Zeropoint     AB|SDSS|SDSS_z            7437.567500308854     All      0.08381768841355601        0.0059135334554483165     0.08984249733033714        -0.021366688216238276     
Zeropoint     AB|SDSS|SDSS_i            6255.751868255601     All      1.0667475869183298         0.03468686228256246       -0.11460341374218497       -0.3412903558040543       
Check         All|All|All               All                   All      0.9944308381717336         1.000094934185114         0.008209766050594675       0.0022113465675282495     
Lambda        AB|SDSS|SDSS_r            5158.639364883431     All      0.00020991302938880047     7.130894149504992e-05     -0.0006498248015210655     -7.414660772056565e-05    
Lambda        AB|SDSS|SDSS_u            3002.2749506057735    All      -5.339796189304132e-05     3.4779219617708575e-05    0.00015167013268585453     3.54905503872026e-05      
Lambda        AB|SDSS|SDSS_g            3947.834386938791     All      -0.001027902223381381      0.0003769236638841455     -0.00167372519291454       0.0003829073406632686     
Lambda        AB|SDSS|SDSS_z            7437.567500308854     All      -1.538331181300544e-05     -8.90597583027124e-07     -1.4272643748011386e-05    4.083831282247803e-06     
Lambda        AB|SDSS|SDSS_i            6255.751868255601     All      -0.00023969131646996134    -2.73747042797903e-05     -0.00023914436688997993    5.848659085545401e-05     
MWEBV         All|All|All               All                   All      -0.6460666964119062        -3.1879352142306416       0.30902462406848824        -0.8141798515704731       
Redshift      All|All|All               All                   All      4.941595392661738          0.16595068773455068       -2.9995753669369596        -1.6894418665138604       
