#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3647.6534312498966    All      -1.1994687138391442        0.3563023824618483         -0.8392647746675141       0.4693132971242811        
Zeropoint     AB|SDSS|SDSS_i            5780.084099471189     All      0.7723161258438792         0.10866615903371013        -2.42285331980408         -0.32429344352551404      
Zeropoint     AB|SDSS|SDSS_r            4766.392592899208     All      1.1746140071216444         0.49654047074678687        2.349865791293193         -0.11600714103182086      
Zeropoint     AB|SDSS|SDSS_z            6872.038174248503     All      0.2482866592450689         0.037259100193232086       0.9016809272186843        -0.028500740072598396     
Check         All|All|All               All                   All      0.9957480783714484         0.9987681124355774         -0.0105713759597168       0.0005119724943478121     
Lambda        AB|SDSS|SDSS_g            3647.6534312498966    All      -0.0017390235636997311     0.00038185360984925695     -0.004140625736332509     0.0005060623608050275     
Lambda        AB|SDSS|SDSS_i            5780.084099471189     All      -0.00013756224542134672    -2.4029850376830774e-05    0.0003006818656892947     5.0399286854706624e-05    
Lambda        AB|SDSS|SDSS_r            4766.392592899208     All      -0.00020630970235454763    -8.185236257689333e-05     -0.0008025267652219733    4.726766430698358e-06     
Lambda        AB|SDSS|SDSS_z            6872.038174248503     All      -2.0496326157815692e-05    -1.0994785485385655e-06    0.00011473186090805345    1.1438147411622298e-05    
MWEBV         All|All|All               All                   All      -0.6233624930184054        -2.8599293203907195        0.07319213501070232       -0.7252571677120025       
Redshift      All|All|All               All                   All      4.645669858941938          -0.3460054337272922        6.501067913495828         -1.3358400614072645       
