#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7195.076651319669    All      0.6898919502916557         -0.13655296233308079      0.532697226364115         -0.2454284666491377       
Zeropoint     AB|PS|PS_g                4677.70805599132     All      -1.0713696637153627        1.1198204079008178        0.28457357677525996       0.7264419060698343        
Zeropoint     AB|PS|PS_z                8268.89872017742     All      0.2681163667898207         -0.0573013246008891       0.29445654745455796       -0.0928590046871125       
Zeropoint     AB|PS|PS_r                5940.371680609112    All      1.119738333103258          0.07915916523888455       -0.9349050135106951       -0.3806713859007618       
Check         All|All|All               All                  All      1.0063769864693717         1.0051252862057325        0.1768223370832378        0.007483048832822248      
Lambda        AB|PS|PS_i                7195.076651319669    All      -0.0004746825895555104     5.096808559807953e-05     -0.0014003014681218226    0.0001087326951208144     
Lambda        AB|PS|PS_g                4677.70805599132     All      -1.1490297045023792e-05    -0.0002228193190898453    -0.0009703735624404114    -0.0001121401303254586    
Lambda        AB|PS|PS_z                8268.89872017742     All      0.00022637968269268653     -5.502641234942119e-05    0.00012317560613364206    -8.616646156410382e-05    
Lambda        AB|PS|PS_r                5940.371680609112    All      -0.00033237984596916825    1.0900681930915239e-05    -0.0006679398505784941    8.201067373642664e-05     
MWEBV         All|All|All               All                  All      -0.6742962643943118        -3.9292718002791993       0.20856781047983164       -1.0509451940876713       
Redshift      All|All|All               All                  All      7.788641401123214          0.528346001599278         17.716047738102315        -1.574331224561537        
