#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7195.076651319669    All      0.7355421135478428         -0.13731618657448763      0.8955009077284835        -0.2443565719099441       
Zeropoint     AB|PS|PS_g                4677.70805599132     All      -1.061769220536816         1.1148832130382758        0.3989697801798059        0.7268114962409529        
Zeropoint     AB|PS|PS_z                8268.89872017742     All      0.33276550950043543        -0.0811427494157968       0.18999585244778472       -0.1263448948309074       
Zeropoint     AB|PS|PS_r                5940.371680609112    All      0.9916837339913136         0.10237654043177002       -1.4917886803152633       -0.3562482875448647       
Check         All|All|All               All                  All      0.9982221365027758         0.9988008174797613        -0.007322139959189178     -0.0001382580447633064    
Lambda        AB|PS|PS_i                7195.076651319669    All      -0.0003966873324534055     5.0721363453072385e-05    -0.0014252577539605603    8.213302397846291e-05     
Lambda        AB|PS|PS_g                4677.70805599132     All      -0.0001486673663092111     -6.486363048494567e-05    -0.0008170520510239499    -9.163646633881339e-06    
Lambda        AB|PS|PS_z                8268.89872017742     All      0.00021757355750079085     -5.608301725137309e-05    4.5927244475694466e-05    -8.708942744592633e-05    
Lambda        AB|PS|PS_r                5940.371680609112    All      -0.00021233753151641486    -8.480373543760963e-06    -0.0009077146398118021    2.5895847660728666e-05    
MWEBV         All|All|All               All                  All      -0.6657078851013294        -3.939335170430347        0.1409368416153833        -1.0600387420285702       
Redshift      All|All|All               All                  All      6.982782417197368          0.024598042866763592      13.787692125520737        -1.6512281932033432       
