#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_r1     5892.992121765871     All      0.22750705359385814        0.020671017330009533       -0.26078723663145453       -0.07901103833301559       
Zeropoint     Linear_AB11_off|NB99|NB99_b10    3975.3467840692833    All      -0.6243201722000796        0.3104963616092249         -0.01390238848770764       0.30388009986530573        
Zeropoint     Linear_AB11_off|NB99|NB99_r12    5889.076873094948     All      -0.09768131785252718       -0.05445134224473236       -1.8267624215575928        -0.06743859157836984       
Zeropoint     Linear_AB11_off|NB99|NB99_v1     4950.970503036173     All      0.08666117467104426        0.07646350078651665        -0.07364808691097124       -0.006608293743104454      
Zeropoint     Linear_AB11_off|NB99|NB99_i10    7115.743635050737     All      0.4372612552167187         -0.117863616116054         2.26306951694184           -0.07983203502011094       
Zeropoint     Linear_AB11_off|NB99|NB99_i16    6878.746497043091     All      0.14282567308744293        0.06337132130216361        0.17236027159648337        -0.018189249047739775      
Zeropoint     Linear_AB11_off|NB99|NB99_v10    4872.0591003232885    All      0.39847615450659635        0.46487071304408545        1.7961146041933773         0.10177923756090612        
Zeropoint     Linear_AB11_off|NB99|NB99_v12    4893.690102218263     All      -0.01605439280113821       -0.01043524921122696       -0.1424861417790968        -0.004528162160855054      
Zeropoint     Linear_AB11_off|NB99|NB99_i1     7162.078595739134     All      0.17957215437692675        -0.01547194096591653       0.5013625703187863         -0.04115876977497379       
Zeropoint     Linear_AB11_off|NB99|NB99_r16    5434.928603940002     All      0.21592608645251232        0.3438324894856848         -0.3728210476320104        0.025026032412894805       
Zeropoint     Linear_AB11_off|NB99|NB99_b12    3979.210389870263     All      -0.024824619896955852      -0.007117719438376469      -0.074109053117688         0.00246057334900851        
Zeropoint     Linear_AB11_off|NB99|NB99_r10    6623.77177855222      All      0.46586703609069363        -0.10322637874597973       1.8984862813100634         -0.10065172452677351       
Zeropoint     Linear_AB11_off|NB99|NB99_i12    7265.991902915985     All      -0.09554025228336954       0.0032804739181102605      -3.574250980415794         -0.12731324368582542       
Zeropoint     Linear_AB11_off|NB99|NB99_b1     3833.0171634826615    All      -0.29747643925256023       0.03612234914474044        -0.29229780621480295       0.09562019183904646        
Check         All|All|All                      All                   All      0.9981993937091624         1.0105419798982496         0.0003280816134321185      0.004035027156393256       
Lambda        Linear_AB11_off|NB99|NB99_r1     5892.992121765871     All      -1.9432916517333123e-05    -1.94421752950887e-05      8.716525973719644e-05      3.886769317993594e-06      
Lambda        Linear_AB11_off|NB99|NB99_b10    3975.3467840692833    All      -0.0006548898699142196     0.0002466909149817069      -0.00024560733045296735    0.0002827141956429544      
Lambda        Linear_AB11_off|NB99|NB99_r12    5889.076873094948     All      -2.1295981851276395e-05    -1.4546970227394326e-05    -0.00027621769679955516    -1.0127952064383383e-05    
Lambda        Linear_AB11_off|NB99|NB99_v1     4950.970503036173     All      -8.276153416128468e-05     -3.107470728286244e-05     -0.0007207092661112503     -1.532584448821467e-05     
Lambda        Linear_AB11_off|NB99|NB99_i10    7115.743635050737     All      -0.00028106412331790263    0.00010356490617073026     -0.001504443817488452      5.814991090967915e-05      
Lambda        Linear_AB11_off|NB99|NB99_i16    6878.746497043091     All      -5.5900270651704157e-05    -3.757103426685339e-05     6.50153191054762e-06       6.260568813223385e-06      
Lambda        Linear_AB11_off|NB99|NB99_v10    4872.0591003232885    All      -5.129042071314079e-05     -2.410867693873421e-05     3.363954978993999e-05      1.0355166806393601e-05     
Lambda        Linear_AB11_off|NB99|NB99_v12    4893.690102218263     All      -1.4854879135038224e-05    -7.699003812313536e-06     -0.00010358067014989187    -2.2914255660620515e-06    
Lambda        Linear_AB11_off|NB99|NB99_i1     7162.078595739134     All      -0.00012272687180331452    5.9890405367742605e-05     -0.0004322523639047065     4.019501736681184e-05      
Lambda        Linear_AB11_off|NB99|NB99_r16    5434.928603940002     All      6.964455599250783e-06      2.4780685837295284e-05     -3.862225000993765e-05     4.079798692730633e-06      
Lambda        Linear_AB11_off|NB99|NB99_b12    3979.210389870263     All      -4.597360475429391e-05     -1.1454081922383539e-05    -0.00016953940176832094    3.6783794103095777e-06     
Lambda        Linear_AB11_off|NB99|NB99_r10    6623.77177855222      All      -0.00022031215248128068    4.503521078128668e-05      -0.0008562400259423262     4.822230609396374e-05      
Lambda        Linear_AB11_off|NB99|NB99_i12    7265.991902915985     All      2.3798696964614932e-05     -2.5295629866368473e-06    0.0009757775291499448      3.496848910172335e-05      
Lambda        Linear_AB11_off|NB99|NB99_b1     3833.0171634826615    All      -0.00046025889888950196    7.999429362891232e-05      -0.0004500034362764068     0.0001558966520353572      
MWEBV         All|All|All                      All                   All      -0.6741867533283306        -3.5711059726164507        -0.11417432212104117       -0.9487169711461574        
Redshift      All|All|All                      All                   All      8.000792670060541          -0.1493354528349755        10.688207810701478         -2.1777992354493207        
