#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_r1     5892.992121765871     All      0.21994333049487827        -0.04201528135130417       -0.10239672932098882       -0.08989803379907424       
Zeropoint     Linear_AB11_off|NB99|NB99_b10    3975.3467840692833    All      -0.5663215035749625        0.2521395699927709         0.8513609977059383         0.30459202939851693        
Zeropoint     Linear_AB11_off|NB99|NB99_r12    5889.076873094948     All      -0.042450022640702675      0.017887407204497663       -0.9918869939205651        -0.02460947502342577       
Zeropoint     Linear_AB11_off|NB99|NB99_v1     4950.970503036173     All      0.0949471918134581         0.08483077419967344        -0.6286833243685286        -0.031350499365561266      
Zeropoint     Linear_AB11_off|NB99|NB99_i10    7115.743635050737     All      0.4611900312750027         -0.1417669693086765        1.5762003162461853         -0.12606435089835563       
Zeropoint     Linear_AB11_off|NB99|NB99_i16    6878.746497043091     All      0.10217586142119744        0.06546172988777244        -0.1346236801449955        -0.017966637040159418      
Zeropoint     Linear_AB11_off|NB99|NB99_v10    4872.0591003232885    All      0.3645824616314268         0.44542517890864275        1.324581522590669          0.08544312243392105        
Zeropoint     Linear_AB11_off|NB99|NB99_v12    4893.690102218263     All      -0.009800800476404883      0.006277858659053948       -0.14138713987142493       -0.0010721104322235784     
Zeropoint     Linear_AB11_off|NB99|NB99_i1     7162.078595739134     All      0.2869549136242939         -0.09983489813016888       0.8164327938743993         -0.08955652084484367       
Zeropoint     Linear_AB11_off|NB99|NB99_r16    5434.928603940002     All      0.021314340722965563       0.4651907535441424         -1.642996229864338         0.07126577502598129        
Zeropoint     Linear_AB11_off|NB99|NB99_b12    3979.210389870263     All      -0.02675165127153264       0.017118106162250513       -0.24064850115485492       0.0035507859203804653      
Zeropoint     Linear_AB11_off|NB99|NB99_r10    6623.77177855222      All      0.42371494162827417        -0.08173914458211584       0.8733984256757338         -0.12566726446020016       
Zeropoint     Linear_AB11_off|NB99|NB99_i12    7265.991902915985     All      -0.015564960265755684      -0.007901981597058239      -1.4417780538885305        -0.061843848441052535      
Zeropoint     Linear_AB11_off|NB99|NB99_b1     3833.0171634826615    All      -0.32391798825928036       0.0185616438093561         -0.15034388656528938       0.10484772625706576        
Check         All|All|All                      All                   All      0.9900161461228582         0.9996347473988365         -0.032770483006590106      0.0016706987309692417      
Lambda        Linear_AB11_off|NB99|NB99_r1     5892.992121765871     All      -5.017052748044816e-05     1.8909386510083218e-05     -0.00013709780312579867    1.6383555362311713e-05     
Lambda        Linear_AB11_off|NB99|NB99_b10    3975.3467840692833    All      -0.0005539785862851501     0.00018898068402540622     0.00046559654677716714     0.0002627837124491949      
Lambda        Linear_AB11_off|NB99|NB99_r12    5889.076873094948     All      -8.458817056545759e-06     3.4659021426627335e-06     -0.00019945145176150663    -5.016328889940691e-06     
Lambda        Linear_AB11_off|NB99|NB99_v1     4950.970503036173     All      -4.014498846701709e-05     2.024084144513975e-05      -0.0009057509090667036     -2.074985167100377e-05     
Lambda        Linear_AB11_off|NB99|NB99_i10    7115.743635050737     All      -0.00035718515911487133    0.00011210504634940273     -0.0012126262908714934     9.874931713839723e-05      
Lambda        Linear_AB11_off|NB99|NB99_i16    6878.746497043091     All      -3.616320562772176e-05     -1.9706734433615595e-05    2.9044311832457447e-05     6.656528311124703e-06      
Lambda        Linear_AB11_off|NB99|NB99_v10    4872.0591003232885    All      -4.544232638226265e-05     -9.363803799013891e-05     -0.00020564705827929704    -2.4876012570729627e-05    
Lambda        Linear_AB11_off|NB99|NB99_v12    4893.690102218263     All      -1.0708070630213146e-05    6.713175965427026e-06      -0.00015514988250677622    -1.2489535204521735e-06    
Lambda        Linear_AB11_off|NB99|NB99_i1     7162.078595739134     All      -0.0001282658209332022     8.29186322666106e-05       -0.0004721908436826947     4.7718015509864375e-05     
Lambda        Linear_AB11_off|NB99|NB99_r16    5434.928603940002     All      1.6186302391049958e-06     -2.2850183914545675e-05    9.699477681219097e-05      -3.6418663616874618e-06    
Lambda        Linear_AB11_off|NB99|NB99_b12    3979.210389870263     All      -3.591443204923235e-05     2.3101471022185195e-05     -0.0003247278235943397     4.732309849834854e-06      
Lambda        Linear_AB11_off|NB99|NB99_r10    6623.77177855222      All      -0.00018552176109158463    3.997680375267404e-05      -0.0003992934377283812     5.5633669014811216e-05     
Lambda        Linear_AB11_off|NB99|NB99_i12    7265.991902915985     All      3.4453716540399257e-06     1.6369382434314708e-06     0.0003220063420214398      1.3780597865253683e-05     
Lambda        Linear_AB11_off|NB99|NB99_b1     3833.0171634826615    All      -0.0004915335931316568     2.797285956980171e-05      -0.0002823538149631373     0.00015662018894185953     
MWEBV         All|All|All                      All                   All      -0.6605252704556381        -3.5830324705393934        0.061948266315286236       -0.9491922760907366        
Redshift      All|All|All                      All                   All      7.965030152847979          -0.5672816222961785        10.829574175438403         -2.2959804928694125        
