#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|SDSS|SDSS_z 8372.641972940302 All 0.3136607676648932 0.024216383996726876 0.7904509220280156 -0.05900736395776163
Zeropoint AB|SDSS|SDSS_r 5807.1997958864295 All 1.2677041041340213 0.07251186721012992 0.7917197290455 -0.3539826169526573
Zeropoint AB|SDSS|SDSS_i 7042.244747665354 All 0.8857338733951718 0.009371633020304415 1.8236939339353686 -0.20407692880316675
Zeropoint AB|SDSS|SDSS_u 3379.7304380370774 All -0.04845738320720808 0.026888722448390467 -0.06944535642246308 0.021443678119127396
Zeropoint AB|SDSS|SDSS_g 4444.168592611518 All -1.135303795581975 0.8081036100418366 -1.6855286918473915 0.5578143240523514
Check All|All|All All All 1.2833375664049034 0.9410922167173883 1.6508905367390296 -0.03780890754210686
