#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8372.641972940302     All      0.2070044043507501         -0.01623913954835743      0.06454350468272675       -0.06983748656598501      
Zeropoint     AB|SDSS|SDSS_r            5807.1997958864295    All      0.9987121433106754         0.23372017900342712       -0.10699855200618127      -0.2539579042124088       
Zeropoint     AB|SDSS|SDSS_i            7042.244747665354     All      0.5797740612235226         -0.021943284494518878     0.13243788674180168       -0.19008904079296896      
Zeropoint     AB|SDSS|SDSS_u            3379.7304380370774    All      -0.20610135784922776       0.12807556479605964       0.04229089276740882       0.11073966610893238       
Zeropoint     AB|SDSS|SDSS_g            4444.168592611518     All      -0.585825222205252         0.6767656639723896        -0.12944603920695533      0.4054908074287586        
Check         All|All|All               All                   All      0.993564028830468          1.000378983729            0.0028276929788006444     0.002346041966328205      
Lambda        AB|SDSS|SDSS_z            8372.641972940302     All      -1.7746563828682322e-06    -2.040755893218632e-06    5.667613575049152e-06     1.6624219851183527e-07    
Lambda        AB|SDSS|SDSS_r            5807.1997958864295    All      -0.0003033973420108182     -7.587917530420886e-05    -0.0002996708767792052    6.073721712959552e-05     
Lambda        AB|SDSS|SDSS_i            7042.244747665354     All      -0.000416666409333408      -7.019604965519948e-05    -0.0009258875592779687    7.153868536062763e-05     
Lambda        AB|SDSS|SDSS_u            3379.7304380370774    All      -0.0001273960993603002     7.001322674024656e-05     2.8560078596445142e-05    6.557721722093151e-05     
Lambda        AB|SDSS|SDSS_g            4444.168592611518     All      -0.0003229475629896802     0.00012748952061839025    -0.0008847469642444717    0.0001072399835526312     
MWEBV         All|All|All               All                   All      -0.9035029048812038        -3.701884107781872        0.05477499119769357       -0.9090804655070308       
Redshift      All|All|All               All                   All      6.643425830321976          0.8878276952271946        4.415752970237255         -1.677732891912794        
