#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6135.65130502528     All      0.7454691999176921         -0.056873891229036744      0.07348362079520951        -0.25807030459211244      
Zeropoint     AB|PS|PS_z                            8591.744178592951    All      0.13911001459928538        -0.03512007175805465       0.04258087556207774        -0.05485228221672162      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4349.691021196512    All      -0.773811952576796         0.582680365879451          0.018615683054979286       0.44268490782891834       
Zeropoint     AB|PS|PS_g                            4860.341421421892    All      -0.28979528345061756       0.3501525346010226         0.005886261726366676       0.20871473482350242       
Zeropoint     AB|CNIa02|SDSS_i                      7440.549609973394    All      0.2992534384339516         -0.05850909818478911       0.16366126907178608        -0.10923157744492053      
Zeropoint     AB|PS|PS_r                            6172.303656472489    All      0.4635413710036811         -0.053886979796047285      -0.13557741093950998       -0.17459363390828705      
Zeropoint     AB|PS|PS_i                            7475.996505152435    All      0.1545001843555023         -0.03464283860754591       0.054386490075338724       -0.05918308593574164      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5441.692308927419    All      0.2590962159694599         0.3031344773975597         -0.22180299243535823       0.004446661714806429      
Check         All|All|All                           All                  All      0.9973631882521589         0.9969344983025596         0.0012337969108897895      -8.457973055610822e-05    
Lambda        AB|CNIa02|SDSS_r                      6135.65130502528     All      -0.00011102192521580521    -3.5190033683585096e-05    -0.00045870617517778604    4.230992030248671e-06     
Lambda        AB|PS|PS_z                            8591.744178592951    All      0.00012713114335847055     -3.094230389266503e-05     5.489332885578191e-05      -4.904008508074706e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4349.691021196512    All      -0.0002343902731440974     6.226739771571207e-05      -0.000572729251548744      7.107288710020573e-05     
Lambda        AB|PS|PS_g                            4860.341421421892    All      -7.680072904452901e-05     3.153683919798879e-05      -0.00028632402631717713    2.2511783920867922e-05    
Lambda        AB|CNIa02|SDSS_i                      7440.549609973394    All      -6.628310112905483e-05     -8.734057581407697e-06     -0.0002446746614023599     7.826910402450754e-06     
Lambda        AB|PS|PS_r                            6172.303656472489    All      -8.513469696932819e-05     5.620398512637154e-06      -4.312752427696764e-05     2.763733702150514e-05     
Lambda        AB|PS|PS_i                            7475.996505152435    All      -1.590201737011307e-05     -2.550997956324579e-06     -6.367807357555763e-05     1.5072062976993805e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5441.692308927419    All      -2.462312670161266e-05     -4.6983581938870824e-05    -0.0007112092092986837     -3.902153645315239e-05    
MWEBV         All|All|All                           All                  All      -0.8385052413146838        -4.089316057936898         0.05089859638420166        -1.0566246608852048       
Redshift      All|All|All                           All                  All      5.302277278056901          -0.01930292208207618       2.1703530958071875         -1.6365608553789552       
