#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6135.65130502528     All      0.8687654912945267         -0.06919332710690895       0.0613362848601362         -0.30278688839595996       
Zeropoint     AB|PS|PS_z                            8591.744178592951    All      0.10557494834227076        -0.02801931534071045       0.010440385519583373       -0.0430501403474913        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4349.691021196512    All      -0.8203032628239478        0.652314246512109          0.0892948026159246         0.48366478739232527        
Zeropoint     AB|PS|PS_g                            4860.341421421892    All      -0.18938613278382344       0.2304321343284066         -0.044763226884958485      0.1347510439833846         
Zeropoint     AB|CNIa02|SDSS_i                      7440.549609973394    All      0.3841029448919958         -0.07061933686696165       0.2217357169333134         -0.13822296043618681       
Zeropoint     AB|PS|PS_r                            6172.303656472489    All      0.2506796721986748         -0.03591550795771781       -0.11362287704681506       -0.09842394602990433       
Zeropoint     AB|PS|PS_i                            7475.996505152435    All      0.10867917725524315        -0.021661766030511842      0.047908220941916824       -0.040318409451697845      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5441.692308927419    All      0.29091691096659544        0.3384416332579576         -0.32347159447700946       0.0010453139570071324      
Check         All|All|All                           All                  All      0.9990297493415353         0.9957787607956625         -0.051142287537908615      -0.0033411993285232117     
Lambda        AB|CNIa02|SDSS_r                      6135.65130502528     All      8.949998877422166e-05      -1.8431915134072183e-05    -3.1899040561775985e-05    -3.6580479630376924e-05    
Lambda        AB|PS|PS_z                            8591.744178592951    All      9.948549988050488e-05      -2.555744613588958e-05     2.771722687945737e-05      -3.94937087732602e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4349.691021196512    All      -0.0002576174828211731     5.500157491686748e-05      -0.0008290704127805056     6.483270722707209e-05      
Lambda        AB|PS|PS_g                            4860.341421421892    All      -9.969643817673256e-05     5.644459364563067e-05      -0.0001825119686223105     4.271560003944843e-05      
Lambda        AB|CNIa02|SDSS_i                      7440.549609973394    All      -1.9459303784157593e-05    -5.574709922440191e-06     -8.494478941520738e-05     7.319731960371303e-07      
Lambda        AB|PS|PS_r                            6172.303656472489    All      -3.118806913290227e-05     1.5297256044048667e-05     3.8478723092889744e-05     1.685892841715858e-05      
Lambda        AB|PS|PS_i                            7475.996505152435    All      -2.462462364096762e-06     -2.070415301407568e-06     -2.692465753019039e-05     -1.0738211788100618e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5441.692308927419    All      1.5874746105796995e-05     -3.434107840525538e-05     -0.0007636245883147265     -5.043400427041366e-05     
MWEBV         All|All|All                           All                  All      -0.8420589500444464        -4.082092168412288         0.07223312554804906        -1.0521619805106706        
Redshift      All|All|All                           All                  All      4.90848607915629           -0.3313101797726148        4.730547349487679          -1.4956714241202258        
